type,delay,period,count,size,xmt,rcv,loss,timeouts,sample,avg
Configured_grant,20,55,180,56,180,18,90,162,6,51.6
Configured_grant,10,35,285,56,285,278,2,7,3,20.4
Configured_grant,20,55,180,56,180,119,33,61,2,41.5
dynamicGrant,10,55,180,56,180,177,1,3,3,28.8
Configured_grant,15,55,180,56,180,166,7,14,1,34.1
Configured_grant,15,35,285,56,285,132,53,153,2,28.9
Configured_grant,10,45,220,56,220,204,7,16,3,27.7
rach_based,15,35,285,56,285,135,52,150,2,28.8
Configured_grant,30,55,180,56,180,93,48,87,3,49.4
Configured_grant,30,45,220,56,220,1,99,219,5,44.1
Configured_grant,25,45,220,56,220,69,68,151,2,41.8
dynamicGrant,30,55,180,56,180,57,68,123,5,50.6
rach_based,15,35,285,56,285,125,56,160,1,29.6
dynamicGrant,10,35,285,56,286,215,24,71,6,26.7
Configured_grant,15,45,220,56,220,45,79,175,3,40.6
rach_based,30,45,220,56,220,3,98,217,1,42.8
dynamicGrant,10,45,220,56,220,211,4,9,5,26.5
dynamicGrant,15,55,180,56,180,150,16,30,3,37.7
Configured_grant,10,35,285,56,285,275,3,10,8,20.4
dynamicGrant,10,55,180,56,180,171,5,9,6,28.3
dynamicGrant,30,45,220,56,220,3,98,217,6,44.5
dynamicGrant,25,55,180,56,180,117,35,63,3,43.4
dynamicGrant,25,45,220,56,220,85,61,135,1,40.9
Configured_grant,25,55,180,56,180,106,41,74,2,43.5
Configured_grant,10,55,180,56,180,175,2,5,1,27.0
Configured_grant,25,45,220,56,220,68,69,152,3,41.8
Configured_grant,10,35,285,56,285,275,3,10,13,20.3
dynamicGrant,20,55,180,56,180,153,15,27,4,44.7
rach_based,25,35,285,56,285,0,100,285,3,
Configured_grant,25,55,180,56,180,114,36,66,3,44.5
Configured_grant,30,35,285,56,285,0,100,285,1,
dynamicGrant,20,55,180,56,181,121,33,60,5,40.6
rach_based,25,45,220,56,220,25,88,195,2,42.5
Configured_grant,15,45,220,56,220,144,34,76,2,32.8
