192.168.72.135 : [82], 64 bytes, 44.8 ms (38.9 avg, 20% loss)
192.168.72.135 : [83], 64 bytes, 26.9 ms (38.7 avg, 20% loss)
192.168.72.135 : [84], 64 bytes, 32.6 ms (38.7 avg, 20% loss)
192.168.72.135 : [85], 64 bytes, 32.8 ms (38.6 avg, 19% loss)
192.168.72.135 : [86], 64 bytes, 31.9 ms (38.5 avg, 19% loss)
192.168.72.135 : [87], 64 bytes, 25.9 ms (38.3 avg, 19% loss)
192.168.72.135 : [88], 64 bytes, 29.0 ms (38.2 avg, 19% loss)
192.168.72.135 : [89], 64 bytes, 23.3 ms (38.0 avg, 18% loss)
192.168.72.135 : [90], 64 bytes, 29.2 ms (37.9 avg, 18% loss)
192.168.72.135 : [91], 64 bytes, 32.7 ms (37.8 avg, 18% loss)
192.168.72.135 : [92], 64 bytes, 33.3 ms (37.7 avg, 18% loss)
192.168.72.135 : [93], 64 bytes, 33.7 ms (37.7 avg, 18% loss)
192.168.72.135 : [94], 64 bytes, 30.8 ms (37.6 avg, 17% loss)
192.168.72.135 : [95], 64 bytes, 22.9 ms (37.4 avg, 17% loss)
192.168.72.135 : [96], 64 bytes, 26.6 ms (37.3 avg, 17% loss)
192.168.72.135 : [97], 64 bytes, 24.7 ms (37.1 avg, 17% loss)
192.168.72.135 : [98], 64 bytes, 28.5 ms (37.0 avg, 17% loss)
192.168.72.135 : [99], 64 bytes, 28.2 ms (36.9 avg, 17% loss)
192.168.72.135 : [100], 64 bytes, 25.3 ms (36.8 avg, 16% loss)
192.168.72.135 : [101], 64 bytes, 28.8 ms (36.7 avg, 16% loss)
192.168.72.135 : [102], 64 bytes, 26.1 ms (36.5 avg, 16% loss)
192.168.72.135 : [103], 64 bytes, 25.9 ms (36.4 avg, 16% loss)
192.168.72.135 : [104], 64 bytes, 45.7 ms (36.5 avg, 16% loss)
192.168.72.135 : [105], 64 bytes, 42.1 ms (36.6 avg, 16% loss)
192.168.72.135 : [106], 64 bytes, 38.2 ms (36.6 avg, 15% loss)
192.168.72.135 : [107], 64 bytes, 39.9 ms (36.6 avg, 15% loss)
192.168.72.135 : [108], 64 bytes, 40.9 ms (36.7 avg, 15% loss)
192.168.72.135 : [109], 64 bytes, 44.5 ms (36.8 avg, 15% loss)
192.168.72.135 : [110], 64 bytes, 43.3 ms (36.8 avg, 15% loss)
192.168.72.135 : [111], 64 bytes, 37.8 ms (36.8 avg, 15% loss)
192.168.72.135 : [112], 64 bytes, 39.2 ms (36.9 avg, 15% loss)
192.168.72.135 : [113], 64 bytes, 36.0 ms (36.9 avg, 14% loss)
192.168.72.135 : [114], 64 bytes, 37.2 ms (36.9 avg, 14% loss)
192.168.72.135 : [115], 64 bytes, 32.5 ms (36.8 avg, 14% loss)
192.168.72.135 : [116], 64 bytes, 30.4 ms (36.8 avg, 14% loss)
192.168.72.135 : [117], 64 bytes, 31.7 ms (36.7 avg, 14% loss)
192.168.72.135 : [118], 64 bytes, 40.1 ms (36.7 avg, 14% loss)
192.168.72.135 : [119], 64 bytes, 38.6 ms (36.8 avg, 14% loss)
192.168.72.135 : [120], 64 bytes, 35.8 ms (36.8 avg, 14% loss)
192.168.72.135 : [121], 64 bytes, 36.2 ms (36.7 avg, 13% loss)
192.168.72.135 : [122], 64 bytes, 36.1 ms (36.7 avg, 13% loss)
192.168.72.135 : [123], 64 bytes, 38.5 ms (36.8 avg, 13% loss)
192.168.72.135 : [124], 64 bytes, 41.5 ms (36.8 avg, 13% loss)
192.168.72.135 : [125], 64 bytes, 36.7 ms (36.8 avg, 13% loss)
192.168.72.135 : [126], 64 bytes, 31.8 ms (36.8 avg, 13% loss)
192.168.72.135 : [127], 64 bytes, 31.0 ms (36.7 avg, 13% loss)
192.168.72.135 : [128], 64 bytes, 24.5 ms (36.6 avg, 13% loss)
192.168.72.135 : [129], 64 bytes, 25.4 ms (36.5 avg, 13% loss)
192.168.72.135 : [130], 64 bytes, 52.1 ms (36.6 avg, 12% loss)
192.168.72.135 : [131], 64 bytes, 47.9 ms (36.7 avg, 12% loss)
192.168.72.135 : [132], 64 bytes, 44.9 ms (36.8 avg, 12% loss)
192.168.72.135 : [133], 64 bytes, 48.1 ms (36.9 avg, 12% loss)
192.168.72.135 : [134], 64 bytes, 49.2 ms (37.0 avg, 12% loss)
192.168.72.135 : [135], 64 bytes, 29.9 ms (36.9 avg, 12% loss)
192.168.72.135 : [136], 64 bytes, 41.2 ms (37.0 avg, 12% loss)
192.168.72.135 : [137], 64 bytes, 44.3 ms (37.0 avg, 12% loss)
192.168.72.135 : [138], 64 bytes, 30.9 ms (37.0 avg, 12% loss)
192.168.72.135 : [139], 64 bytes, 32.1 ms (36.9 avg, 12% loss)
192.168.72.135 : [140], 64 bytes, 28.1 ms (36.9 avg, 12% loss)
192.168.72.135 : [141], 64 bytes, 23.6 ms (36.8 avg, 11% loss)
192.168.72.135 : [142], 64 bytes, 27.4 ms (36.7 avg, 11% loss)
192.168.72.135 : [143], 64 bytes, 28.7 ms (36.6 avg, 11% loss)
192.168.72.135 : [144], 64 bytes, 26.2 ms (36.6 avg, 11% loss)
192.168.72.135 : [145], 64 bytes, 23.0 ms (36.4 avg, 11% loss)
192.168.72.135 : [146], 64 bytes, 31.2 ms (36.4 avg, 11% loss)
192.168.72.135 : [147], 64 bytes, 29.0 ms (36.3 avg, 11% loss)
192.168.72.135 : [148], 64 bytes, 25.2 ms (36.3 avg, 11% loss)
192.168.72.135 : [149], 64 bytes, 30.1 ms (36.2 avg, 11% loss)
192.168.72.135 : [150], 64 bytes, 30.1 ms (36.2 avg, 11% loss)
192.168.72.135 : [151], 64 bytes, 33.5 ms (36.2 avg, 11% loss)
192.168.72.135 : [152], 64 bytes, 43.6 ms (36.2 avg, 11% loss)
192.168.72.135 : [153], 64 bytes, 30.6 ms (36.2 avg, 11% loss)
192.168.72.135 : [154], 64 bytes, 37.1 ms (36.2 avg, 10% loss)
192.168.72.135 : [155], 64 bytes, 35.1 ms (36.2 avg, 10% loss)
192.168.72.135 : [156], 64 bytes, 37.2 ms (36.2 avg, 10% loss)
192.168.72.135 : [157], 64 bytes, 32.8 ms (36.2 avg, 10% loss)
192.168.72.135 : [158], 64 bytes, 31.5 ms (36.1 avg, 10% loss)
192.168.72.135 : [159], 64 bytes, 27.2 ms (36.1 avg, 10% loss)
192.168.72.135 : [160], 64 bytes, 32.7 ms (36.0 avg, 10% loss)
192.168.72.135 : [161], 64 bytes, 24.4 ms (36.0 avg, 10% loss)
192.168.72.135 : [162], 64 bytes, 30.6 ms (35.9 avg, 10% loss)
192.168.72.135 : [163], 64 bytes, 29.9 ms (35.9 avg, 10% loss)
192.168.72.135 : [164], 64 bytes, 31.5 ms (35.8 avg, 10% loss)
192.168.72.135 : [165], 64 bytes, 30.3 ms (35.8 avg, 10% loss)
192.168.72.135 : [166], 64 bytes, 23.1 ms (35.7 avg, 10% loss)
192.168.72.135 : [167], 64 bytes, 26.6 ms (35.7 avg, 10% loss)
192.168.72.135 : [168], 64 bytes, 51.3 ms (35.8 avg, 10% loss)
192.168.72.135 : [169], timed out (35.8 avg, 10% loss)
192.168.72.135 : [170], 64 bytes, 26.3 ms (35.7 avg, 10% loss)
192.168.72.135 : [171], 64 bytes, 28.8 ms (35.7 avg, 10% loss)
192.168.72.135 : [172], 64 bytes, 25.7 ms (35.6 avg, 10% loss)
192.168.72.135 : [173], 64 bytes, 23.5 ms (35.5 avg, 10% loss)
192.168.72.135 : [174], 64 bytes, 23.1 ms (35.4 avg, 10% loss)
192.168.72.135 : [175], 64 bytes, 44.4 ms (35.5 avg, 10% loss)
192.168.72.135 : [176], 64 bytes, 46.9 ms (35.6 avg, 10% loss)
192.168.72.135 : [177], 64 bytes, 32.7 ms (35.5 avg, 10% loss)
192.168.72.135 : [178], 64 bytes, 38.2 ms (35.6 avg, 10% loss)
192.168.72.135 : [179], 64 bytes, 50.2 ms (35.7 avg, 10% loss)

192.168.72.135 : xmt/rcv/%loss = 180/162/10%, min/avg/max = 22.9/35.7/54.0

       1 targets
       1 alive
       0 unreachable
       0 unknown addresses

      18 timeouts (waiting for response)
     180 ICMP Echos sent
     180 ICMP Echo Replies received
       0 other ICMP received

 22.9 ms (min round trip time)
 35.7 ms (avg round trip time)
 54.0 ms (max round trip time)
        9.896 sec (elapsed real time)

