192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [1], timed out (NaN avg, 100% loss)
192.168.72.135 : [2], timed out (NaN avg, 100% loss)
192.168.72.135 : [3], timed out (NaN avg, 100% loss)
192.168.72.135 : [4], timed out (NaN avg, 100% loss)
192.168.72.135 : [5], 64 bytes, 39.4 ms (39.4 avg, 83% loss)
192.168.72.135 : [6], 64 bytes, 40.0 ms (39.7 avg, 71% loss)
192.168.72.135 : [7], 64 bytes, 37.9 ms (39.1 avg, 62% loss)
192.168.72.135 : [8], 64 bytes, 36.5 ms (38.5 avg, 55% loss)
192.168.72.135 : [9], 64 bytes, 31.2 ms (37.0 avg, 50% loss)
192.168.72.135 : [10], 64 bytes, 33.2 ms (36.4 avg, 45% loss)
192.168.72.135 : [11], 64 bytes, 31.9 ms (35.7 avg, 41% loss)
192.168.72.135 : [12], 64 bytes, 30.9 ms (35.1 avg, 38% loss)
192.168.72.135 : [13], 64 bytes, 36.0 ms (35.2 avg, 35% loss)
192.168.72.135 : [14], 64 bytes, 37.6 ms (35.5 avg, 33% loss)
192.168.72.135 : [15], 64 bytes, 36.1 ms (35.5 avg, 31% loss)
192.168.72.135 : [16], 64 bytes, 36.2 ms (35.6 avg, 29% loss)
192.168.72.135 : [17], 64 bytes, 33.7 ms (35.4 avg, 27% loss)
192.168.72.135 : [18], 64 bytes, 30.7 ms (35.1 avg, 26% loss)
192.168.72.135 : [19], 64 bytes, 28.2 ms (34.6 avg, 25% loss)
192.168.72.135 : [20], 64 bytes, 21.4 ms (33.8 avg, 23% loss)
192.168.72.135 : [21], 64 bytes, 22.8 ms (33.2 avg, 22% loss)
192.168.72.135 : [22], 64 bytes, 44.9 ms (33.8 avg, 21% loss)
192.168.72.135 : [23], timed out (33.8 avg, 25% loss)
192.168.72.135 : [24], 64 bytes, 24.3 ms (33.3 avg, 24% loss)
192.168.72.135 : [25], 64 bytes, 43.0 ms (33.8 avg, 23% loss)
192.168.72.135 : [26], 64 bytes, 42.7 ms (34.2 avg, 22% loss)
192.168.72.135 : [27], 64 bytes, 41.0 ms (34.5 avg, 21% loss)
192.168.72.135 : [28], 64 bytes, 39.6 ms (34.8 avg, 20% loss)
192.168.72.135 : [29], 64 bytes, 31.8 ms (34.6 avg, 20% loss)
192.168.72.135 : [30], 64 bytes, 28.2 ms (34.4 avg, 19% loss)
192.168.72.135 : [31], 64 bytes, 26.3 ms (34.1 avg, 18% loss)
192.168.72.135 : [32], 64 bytes, 30.2 ms (33.9 avg, 18% loss)
192.168.72.135 : [33], 64 bytes, 34.6 ms (33.9 avg, 17% loss)
192.168.72.135 : [34], 64 bytes, 41.1 ms (34.2 avg, 17% loss)
192.168.72.135 : [35], timed out (34.2 avg, 19% loss)
192.168.72.135 : [36], 64 bytes, 43.0 ms (34.5 avg, 18% loss)
192.168.72.135 : [37], 64 bytes, 38.7 ms (34.6 avg, 18% loss)
192.168.72.135 : [38], 64 bytes, 36.0 ms (34.7 avg, 17% loss)
192.168.72.135 : [39], 64 bytes, 38.9 ms (34.8 avg, 17% loss)
192.168.72.135 : [40], 64 bytes, 36.9 ms (34.9 avg, 17% loss)
192.168.72.135 : [41], 64 bytes, 30.9 ms (34.7 avg, 16% loss)
192.168.72.135 : [42], 64 bytes, 28.7 ms (34.6 avg, 16% loss)
192.168.72.135 : [43], 64 bytes, 28.3 ms (34.4 avg, 15% loss)
192.168.72.135 : [44], 64 bytes, 24.9 ms (34.2 avg, 15% loss)
192.168.72.135 : [45], 64 bytes, 26.1 ms (33.9 avg, 15% loss)
192.168.72.135 : [46], 64 bytes, 19.6 ms (33.6 avg, 14% loss)
192.168.72.135 : [47], 64 bytes, 21.6 ms (33.3 avg, 14% loss)
192.168.72.135 : [48], 64 bytes, 20.0 ms (33.0 avg, 14% loss)
192.168.72.135 : [49], 64 bytes, 40.5 ms (33.2 avg, 14% loss)
192.168.72.135 : [50], 64 bytes, 43.7 ms (33.4 avg, 13% loss)
192.168.72.135 : [51], 64 bytes, 30.9 ms (33.3 avg, 13% loss)
192.168.72.135 : [52], 64 bytes, 27.3 ms (33.2 avg, 13% loss)
192.168.72.135 : [53], 64 bytes, 31.3 ms (33.2 avg, 12% loss)
192.168.72.135 : [54], 64 bytes, 29.7 ms (33.1 avg, 12% loss)
192.168.72.135 : [55], 64 bytes, 29.2 ms (33.0 avg, 12% loss)
192.168.72.135 : [56], 64 bytes, 28.6 ms (32.9 avg, 12% loss)
192.168.72.135 : [57], 64 bytes, 28.4 ms (32.8 avg, 12% loss)
192.168.72.135 : [58], 64 bytes, 23.4 ms (32.7 avg, 11% loss)
192.168.72.135 : [59], 64 bytes, 24.9 ms (32.5 avg, 11% loss)
192.168.72.135 : [60], 64 bytes, 29.3 ms (32.5 avg, 11% loss)
192.168.72.135 : [61], 64 bytes, 28.6 ms (32.4 avg, 11% loss)
192.168.72.135 : [62], 64 bytes, 29.5 ms (32.3 avg, 11% loss)
192.168.72.135 : [63], 64 bytes, 28.2 ms (32.3 avg, 10% loss)
192.168.72.135 : [64], 64 bytes, 26.0 ms (32.1 avg, 10% loss)
192.168.72.135 : [65], 64 bytes, 23.1 ms (32.0 avg, 10% loss)
192.168.72.135 : [66], 64 bytes, 25.9 ms (31.9 avg, 10% loss)
192.168.72.135 : [67], 64 bytes, 26.0 ms (31.8 avg, 10% loss)
192.168.72.135 : [68], 64 bytes, 28.1 ms (31.7 avg, 10% loss)
192.168.72.135 : [69], 64 bytes, 25.3 ms (31.6 avg, 10% loss)
192.168.72.135 : [70], 64 bytes, 32.8 ms (31.7 avg, 9% loss)
192.168.72.135 : [71], 64 bytes, 36.1 ms (31.7 avg, 9% loss)
192.168.72.135 : [72], 64 bytes, 29.8 ms (31.7 avg, 9% loss)
192.168.72.135 : [73], 64 bytes, 25.8 ms (31.6 avg, 9% loss)
192.168.72.135 : [74], 64 bytes, 25.2 ms (31.5 avg, 9% loss)
192.168.72.135 : [75], 64 bytes, 22.7 ms (31.4 avg, 9% loss)
192.168.72.135 : [76], 64 bytes, 24.3 ms (31.3 avg, 9% loss)
192.168.72.135 : [77], 64 bytes, 22.5 ms (31.2 avg, 8% loss)
192.168.72.135 : [78], 64 bytes, 26.7 ms (31.1 avg, 8% loss)
192.168.72.135 : [79], 64 bytes, 23.6 ms (31.0 avg, 8% loss)
192.168.72.135 : [80], 64 bytes, 24.9 ms (30.9 avg, 8% loss)
192.168.72.135 : [81], 64 bytes, 28.1 ms (30.9 avg, 8% loss)
192.168.72.135 : [82], 64 bytes, 19.7 ms (30.7 avg, 8% loss)
192.168.72.135 : [83], 64 bytes, 24.9 ms (30.7 avg, 8% loss)
192.168.72.135 : [84], 64 bytes, 24.4 ms (30.6 avg, 8% loss)
192.168.72.135 : [85], 64 bytes, 21.4 ms (30.5 avg, 8% loss)
192.168.72.135 : [86], 64 bytes, 21.6 ms (30.3 avg, 8% loss)
192.168.72.135 : [87], 64 bytes, 19.7 ms (30.2 avg, 7% loss)
192.168.72.135 : [88], 64 bytes, 20.0 ms (30.1 avg, 7% loss)
192.168.72.135 : [89], 64 bytes, 19.1 ms (30.0 avg, 7% loss)
192.168.72.135 : [90], 64 bytes, 22.7 ms (29.9 avg, 7% loss)
192.168.72.135 : [91], 64 bytes, 34.4 ms (29.9 avg, 7% loss)
192.168.72.135 : [92], 64 bytes, 28.3 ms (29.9 avg, 7% loss)
192.168.72.135 : [93], 64 bytes, 35.4 ms (30.0 avg, 7% loss)
192.168.72.135 : [94], 64 bytes, 21.3 ms (29.9 avg, 7% loss)
192.168.72.135 : [95], 64 bytes, 22.0 ms (29.8 avg, 7% loss)
192.168.72.135 : [96], 64 bytes, 26.0 ms (29.7 avg, 7% loss)
192.168.72.135 : [97], 64 bytes, 21.2 ms (29.6 avg, 7% loss)
192.168.72.135 : [98], 64 bytes, 27.4 ms (29.6 avg, 7% loss)
192.168.72.135 : [99], 64 bytes, 30.3 ms (29.6 avg, 7% loss)
192.168.72.135 : [100], 64 bytes, 27.2 ms (29.6 avg, 6% loss)
192.168.72.135 : [101], 64 bytes, 26.3 ms (29.6 avg, 6% loss)
192.168.72.135 : [102], 64 bytes, 30.8 ms (29.6 avg, 6% loss)
192.168.72.135 : [103], 64 bytes, 37.3 ms (29.7 avg, 6% loss)
192.168.72.135 : [104], 64 bytes, 39.2 ms (29.8 avg, 6% loss)
192.168.72.135 : [105], 64 bytes, 28.1 ms (29.7 avg, 6% loss)
192.168.72.135 : [106], 64 bytes, 22.8 ms (29.7 avg, 6% loss)
192.168.72.135 : [107], 64 bytes, 25.9 ms (29.6 avg, 6% loss)
192.168.72.135 : [108], 64 bytes, 23.8 ms (29.6 avg, 6% loss)
192.168.72.135 : [109], timed out (29.6 avg, 7% loss)
192.168.72.135 : [110], 64 bytes, 37.1 ms (29.6 avg, 7% loss)
192.168.72.135 : [111], 64 bytes, 26.6 ms (29.6 avg, 7% loss)
192.168.72.135 : [112], 64 bytes, 24.7 ms (29.6 avg, 7% loss)
192.168.72.135 : [113], 64 bytes, 24.8 ms (29.5 avg, 7% loss)
192.168.72.135 : [114], 64 bytes, 19.1 ms (29.4 avg, 6% loss)
192.168.72.135 : [115], 64 bytes, 19.8 ms (29.3 avg, 6% loss)
192.168.72.135 : [116], 64 bytes, 21.4 ms (29.3 avg, 6% loss)
192.168.72.135 : [117], 64 bytes, 21.5 ms (29.2 avg, 6% loss)
192.168.72.135 : [118], 64 bytes, 18.3 ms (29.1 avg, 6% loss)
192.168.72.135 : [119], 64 bytes, 40.3 ms (29.2 avg, 6% loss)
192.168.72.135 : [120], 64 bytes, 36.7 ms (29.3 avg, 6% loss)
192.168.72.135 : [121], 64 bytes, 21.2 ms (29.2 avg, 6% loss)
192.168.72.135 : [122], 64 bytes, 18.7 ms (29.1 avg, 6% loss)
192.168.72.135 : [123], 64 bytes, 26.5 ms (29.1 avg, 6% loss)
192.168.72.135 : [124], timed out (29.1 avg, 7% loss)
192.168.72.135 : [125], 64 bytes, 40.2 ms (29.2 avg, 7% loss)
192.168.72.135 : [126], 64 bytes, 27.2 ms (29.2 avg, 7% loss)
192.168.72.135 : [127], 64 bytes, 25.5 ms (29.1 avg, 7% loss)
192.168.72.135 : [128], 64 bytes, 32.2 ms (29.2 avg, 6% loss)
192.168.72.135 : [129], 64 bytes, 29.0 ms (29.2 avg, 6% loss)
192.168.72.135 : [130], 64 bytes, 26.8 ms (29.1 avg, 6% loss)
192.168.72.135 : [131], 64 bytes, 20.9 ms (29.1 avg, 6% loss)
192.168.72.135 : [132], 64 bytes, 23.3 ms (29.0 avg, 6% loss)
192.168.72.135 : [133], 64 bytes, 17.3 ms (28.9 avg, 6% loss)
192.168.72.135 : [134], 64 bytes, 18.1 ms (28.8 avg, 6% loss)
192.168.72.135 : [135], 64 bytes, 21.8 ms (28.8 avg, 6% loss)
192.168.72.135 : [136], 64 bytes, 19.8 ms (28.7 avg, 6% loss)
192.168.72.135 : [137], 64 bytes, 30.0 ms (28.7 avg, 6% loss)
192.168.72.135 : [138], 64 bytes, 30.5 ms (28.7 avg, 6% loss)
192.168.72.135 : [139], 64 bytes, 27.3 ms (28.7 avg, 6% loss)
192.168.72.135 : [140], 64 bytes, 27.8 ms (28.7 avg, 6% loss)
192.168.72.135 : [141], 64 bytes, 25.1 ms (28.7 avg, 6% loss)
192.168.72.135 : [142], 64 bytes, 26.4 ms (28.7 avg, 6% loss)
192.168.72.135 : [143], 64 bytes, 23.1 ms (28.6 avg, 6% loss)
192.168.72.135 : [144], 64 bytes, 23.8 ms (28.6 avg, 6% loss)
192.168.72.135 : [145], 64 bytes, 22.0 ms (28.6 avg, 6% loss)
192.168.72.135 : [146], 64 bytes, 21.3 ms (28.5 avg, 6% loss)
192.168.72.135 : [147], 64 bytes, 19.5 ms (28.4 avg, 6% loss)
192.168.72.135 : [148], 64 bytes, 25.5 ms (28.4 avg, 6% loss)
192.168.72.135 : [149], 64 bytes, 33.5 ms (28.4 avg, 6% loss)
192.168.72.135 : [150], 64 bytes, 20.7 ms (28.4 avg, 5% loss)
192.168.72.135 : [151], 64 bytes, 23.8 ms (28.4 avg, 5% loss)
192.168.72.135 : [152], 64 bytes, 29.5 ms (28.4 avg, 5% loss)
192.168.72.135 : [153], 64 bytes, 28.0 ms (28.4 avg, 5% loss)
192.168.72.135 : [154], 64 bytes, 31.5 ms (28.4 avg, 5% loss)
192.168.72.135 : [155], 64 bytes, 32.6 ms (28.4 avg, 5% loss)
192.168.72.135 : [156], 64 bytes, 21.3 ms (28.4 avg, 5% loss)
192.168.72.135 : [157], 64 bytes, 24.5 ms (28.3 avg, 5% loss)
192.168.72.135 : [158], 64 bytes, 20.0 ms (28.3 avg, 5% loss)
192.168.72.135 : [159], 64 bytes, 19.6 ms (28.2 avg, 5% loss)
192.168.72.135 : [160], 64 bytes, 22.5 ms (28.2 avg, 5% loss)
192.168.72.135 : [161], 64 bytes, 25.0 ms (28.2 avg, 5% loss)
192.168.72.135 : [162], 64 bytes, 22.6 ms (28.1 avg, 5% loss)
192.168.72.135 : [163], 64 bytes, 18.8 ms (28.1 avg, 5% loss)
192.168.72.135 : [164], 64 bytes, 20.2 ms (28.0 avg, 5% loss)
192.168.72.135 : [165], 64 bytes, 24.8 ms (28.0 avg, 5% loss)
192.168.72.135 : [166], 64 bytes, 26.5 ms (28.0 avg, 5% loss)
192.168.72.135 : [167], 64 bytes, 23.8 ms (28.0 avg, 5% loss)
192.168.72.135 : [168], 64 bytes, 27.1 ms (28.0 avg, 5% loss)
192.168.72.135 : [169], 64 bytes, 24.2 ms (27.9 avg, 5% loss)
192.168.72.135 : [170], 64 bytes, 26.8 ms (27.9 avg, 5% loss)
192.168.72.135 : [171], 64 bytes, 29.0 ms (27.9 avg, 5% loss)
192.168.72.135 : [172], 64 bytes, 40.0 ms (28.0 avg, 5% loss)
192.168.72.135 : [173], 64 bytes, 36.8 ms (28.1 avg, 5% loss)
192.168.72.135 : [174], 64 bytes, 22.1 ms (28.0 avg, 5% loss)
192.168.72.135 : [175], 64 bytes, 23.9 ms (28.0 avg, 5% loss)
192.168.72.135 : [176], 64 bytes, 20.0 ms (28.0 avg, 5% loss)
192.168.72.135 : [177], 64 bytes, 23.9 ms (27.9 avg, 5% loss)
192.168.72.135 : [178], 64 bytes, 27.8 ms (27.9 avg, 5% loss)
192.168.72.135 : [179], 64 bytes, 32.5 ms (28.0 avg, 5% loss)
192.168.72.135 : [180], 64 bytes, 22.4 ms (27.9 avg, 4% loss)
192.168.72.135 : [181], 64 bytes, 23.9 ms (27.9 avg, 4% loss)
192.168.72.135 : [182], 64 bytes, 24.1 ms (27.9 avg, 4% loss)
192.168.72.135 : [183], 64 bytes, 24.3 ms (27.9 avg, 4% loss)
192.168.72.135 : [184], 64 bytes, 26.0 ms (27.9 avg, 4% loss)
192.168.72.135 : [185], 64 bytes, 30.4 ms (27.9 avg, 4% loss)
192.168.72.135 : [186], 64 bytes, 24.4 ms (27.8 avg, 4% loss)
192.168.72.135 : [187], 64 bytes, 21.4 ms (27.8 avg, 4% loss)
192.168.72.135 : [188], 64 bytes, 25.0 ms (27.8 avg, 4% loss)
192.168.72.135 : [189], 64 bytes, 28.4 ms (27.8 avg, 4% loss)
192.168.72.135 : [190], 64 bytes, 36.0 ms (27.8 avg, 4% loss)
192.168.72.135 : [191], 64 bytes, 38.3 ms (27.9 avg, 4% loss)
192.168.72.135 : [192], 64 bytes, 22.8 ms (27.9 avg, 4% loss)
192.168.72.135 : [193], 64 bytes, 22.1 ms (27.8 avg, 4% loss)
192.168.72.135 : [194], 64 bytes, 22.0 ms (27.8 avg, 4% loss)
192.168.72.135 : [195], 64 bytes, 26.3 ms (27.8 avg, 4% loss)
192.168.72.135 : [196], 64 bytes, 28.3 ms (27.8 avg, 4% loss)
192.168.72.135 : [197], 64 bytes, 25.6 ms (27.8 avg, 4% loss)
192.168.72.135 : [198], 64 bytes, 25.4 ms (27.8 avg, 4% loss)
192.168.72.135 : [199], 64 bytes, 30.5 ms (27.8 avg, 4% loss)
192.168.72.135 : [200], 64 bytes, 21.2 ms (27.8 avg, 4% loss)
192.168.72.135 : [201], 64 bytes, 22.1 ms (27.7 avg, 4% loss)
192.168.72.135 : [202], 64 bytes, 20.1 ms (27.7 avg, 4% loss)
192.168.72.135 : [203], 64 bytes, 20.5 ms (27.7 avg, 4% loss)
192.168.72.135 : [204], 64 bytes, 20.6 ms (27.6 avg, 4% loss)
192.168.72.135 : [205], 64 bytes, 19.9 ms (27.6 avg, 4% loss)
192.168.72.135 : [206], 64 bytes, 19.7 ms (27.5 avg, 4% loss)
192.168.72.135 : [207], 64 bytes, 22.3 ms (27.5 avg, 4% loss)
192.168.72.135 : [208], 64 bytes, 41.7 ms (27.6 avg, 4% loss)
192.168.72.135 : [209], 64 bytes, 40.2 ms (27.6 avg, 4% loss)
192.168.72.135 : [210], timed out (27.6 avg, 4% loss)
192.168.72.135 : [211], 64 bytes, 44.4 ms (27.7 avg, 4% loss)
192.168.72.135 : [212], 64 bytes, 22.5 ms (27.7 avg, 4% loss)
192.168.72.135 : [213], 64 bytes, 26.2 ms (27.7 avg, 4% loss)
192.168.72.135 : [214], 64 bytes, 23.7 ms (27.7 avg, 4% loss)
192.168.72.135 : [215], 64 bytes, 25.9 ms (27.7 avg, 4% loss)
192.168.72.135 : [216], 64 bytes, 29.7 ms (27.7 avg, 4% loss)
192.168.72.135 : [217], 64 bytes, 17.5 ms (27.6 avg, 4% loss)
192.168.72.135 : [218], 64 bytes, 23.6 ms (27.6 avg, 4% loss)
192.168.72.135 : [219], 64 bytes, 22.8 ms (27.6 avg, 4% loss)

192.168.72.135 : xmt/rcv/%loss = 220/210/4%, min/avg/max = 17.3/27.6/44.9

       1 targets
       1 alive
       0 unreachable
       0 unknown addresses

      10 timeouts (waiting for response)
     220 ICMP Echos sent
     220 ICMP Echo Replies received
       0 other ICMP received

 17.3 ms (min round trip time)
 27.6 ms (avg round trip time)
 44.9 ms (max round trip time)
        9.879 sec (elapsed real time)

