192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [1], timed out (NaN avg, 100% loss)
192.168.72.135 : [2], timed out (NaN avg, 100% loss)
192.168.72.135 : [3], timed out (NaN avg, 100% loss)
192.168.72.135 : [4], timed out (NaN avg, 100% loss)
192.168.72.135 : [5], timed out (NaN avg, 100% loss)
192.168.72.135 : [6], timed out (NaN avg, 100% loss)
192.168.72.135 : [7], 64 bytes, 40.9 ms (40.9 avg, 87% loss)
192.168.72.135 : [8], timed out (40.9 avg, 88% loss)
192.168.72.135 : [9], 64 bytes, 40.3 ms (40.6 avg, 80% loss)
192.168.72.135 : [10], timed out (40.6 avg, 81% loss)
192.168.72.135 : [11], timed out (40.6 avg, 83% loss)
192.168.72.135 : [12], timed out (40.6 avg, 84% loss)
192.168.72.135 : [13], timed out (40.6 avg, 85% loss)
192.168.72.135 : [14], 64 bytes, 44.4 ms (41.9 avg, 80% loss)
192.168.72.135 : [15], timed out (41.9 avg, 81% loss)
192.168.72.135 : [16], timed out (41.9 avg, 82% loss)
192.168.72.135 : [17], timed out (41.9 avg, 83% loss)
192.168.72.135 : [18], timed out (41.9 avg, 84% loss)
192.168.72.135 : [19], timed out (41.9 avg, 85% loss)
192.168.72.135 : [20], 64 bytes, 41.2 ms (41.7 avg, 80% loss)
192.168.72.135 : [21], timed out (41.7 avg, 81% loss)
192.168.72.135 : [22], timed out (41.7 avg, 82% loss)
192.168.72.135 : [23], timed out (41.7 avg, 83% loss)
192.168.72.135 : [24], timed out (41.7 avg, 84% loss)
192.168.72.135 : [25], timed out (41.7 avg, 84% loss)
192.168.72.135 : [26], timed out (41.7 avg, 85% loss)
192.168.72.135 : [27], timed out (41.7 avg, 85% loss)
192.168.72.135 : [28], timed out (41.7 avg, 86% loss)
192.168.72.135 : [29], timed out (41.7 avg, 86% loss)
192.168.72.135 : [30], timed out (41.7 avg, 87% loss)
192.168.72.135 : [31], timed out (41.7 avg, 87% loss)
192.168.72.135 : [32], timed out (41.7 avg, 87% loss)
192.168.72.135 : [33], timed out (41.7 avg, 88% loss)
192.168.72.135 : [34], timed out (41.7 avg, 88% loss)
192.168.72.135 : [35], timed out (41.7 avg, 88% loss)
192.168.72.135 : [36], timed out (41.7 avg, 89% loss)
192.168.72.135 : [37], timed out (41.7 avg, 89% loss)
192.168.72.135 : [38], timed out (41.7 avg, 89% loss)
