192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [42], timed out (NaN avg, 100% loss)
192.168.72.135 : [43], timed out (NaN avg, 100% loss)
192.168.72.135 : [44], timed out (NaN avg, 100% loss)
192.168.72.135 : [45], timed out (NaN avg, 100% loss)
192.168.72.135 : [46], timed out (NaN avg, 100% loss)
192.168.72.135 : [47], timed out (NaN avg, 100% loss)
192.168.72.135 : [48], timed out (NaN avg, 100% loss)
192.168.72.135 : [49], timed out (NaN avg, 100% loss)
192.168.72.135 : [50], timed out (NaN avg, 100% loss)
192.168.72.135 : [51], timed out (NaN avg, 100% loss)
192.168.72.135 : [52], timed out (NaN avg, 100% loss)
192.168.72.135 : [53], timed out (NaN avg, 100% loss)
192.168.72.135 : [54], timed out (NaN avg, 100% loss)
192.168.72.135 : [55], timed out (NaN avg, 100% loss)
192.168.72.135 : [56], timed out (NaN avg, 100% loss)
192.168.72.135 : [57], timed out (NaN avg, 100% loss)
192.168.72.135 : [58], timed out (NaN avg, 100% loss)
192.168.72.135 : [59], timed out (NaN avg, 100% loss)
192.168.72.135 : [60], timed out (NaN avg, 100% loss)
192.168.72.135 : [61], timed out (NaN avg, 100% loss)
192.168.72.135 : [62], timed out (NaN avg, 100% loss)
192.168.72.135 : [63], timed out (NaN avg, 100% loss)
192.168.72.135 : [64], timed out (NaN avg, 100% loss)
192.168.72.135 : [65], timed out (NaN avg, 100% loss)
192.168.72.135 : [66], timed out (NaN avg, 100% loss)
192.168.72.135 : [67], timed out (NaN avg, 100% loss)
192.168.72.135 : [68], timed out (NaN avg, 100% loss)
192.168.72.135 : [69], timed out (NaN avg, 100% loss)
192.168.72.135 : [70], timed out (NaN avg, 100% loss)
192.168.72.135 : [71], timed out (NaN avg, 100% loss)
192.168.72.135 : [72], timed out (NaN avg, 100% loss)
192.168.72.135 : [73], timed out (NaN avg, 100% loss)
192.168.72.135 : [74], timed out (NaN avg, 100% loss)
192.168.72.135 : [75], timed out (NaN avg, 100% loss)
192.168.72.135 : [76], timed out (NaN avg, 100% loss)
192.168.72.135 : [77], timed out (NaN avg, 100% loss)
192.168.72.135 : [78], 64 bytes, 32.9 ms (32.9 avg, 98% loss)
192.168.72.135 : [79], timed out (32.9 avg, 98% loss)
192.168.72.135 : [80], timed out (32.9 avg, 98% loss)
192.168.72.135 : [81], timed out (32.9 avg, 98% loss)
192.168.72.135 : [82], timed out (32.9 avg, 98% loss)
192.168.72.135 : [83], timed out (32.9 avg, 98% loss)
192.168.72.135 : [84], timed out (32.9 avg, 98% loss)
192.168.72.135 : [85], timed out (32.9 avg, 98% loss)
192.168.72.135 : [86], timed out (32.9 avg, 98% loss)
192.168.72.135 : [87], timed out (32.9 avg, 98% loss)
192.168.72.135 : [88], timed out (32.9 avg, 98% loss)
192.168.72.135 : [89], timed out (32.9 avg, 98% loss)
192.168.72.135 : [90], timed out (32.9 avg, 98% loss)
192.168.72.135 : [91], timed out (32.9 avg, 98% loss)
192.168.72.135 : [92], timed out (32.9 avg, 98% loss)
192.168.72.135 : [93], timed out (32.9 avg, 98% loss)
192.168.72.135 : [94], timed out (32.9 avg, 98% loss)
192.168.72.135 : [95], timed out (32.9 avg, 98% loss)
192.168.72.135 : [96], timed out (32.9 avg, 98% loss)
192.168.72.135 : [97], timed out (32.9 avg, 98% loss)
192.168.72.135 : [98], timed out (32.9 avg, 98% loss)
192.168.72.135 : [99], timed out (32.9 avg, 99% loss)
192.168.72.135 : [100], timed out (32.9 avg, 99% loss)
192.168.72.135 : [101], timed out (32.9 avg, 99% loss)
192.168.72.135 : [102], timed out (32.9 avg, 99% loss)
192.168.72.135 : [103], timed out (32.9 avg, 99% loss)
192.168.72.135 : [104], timed out (32.9 avg, 99% loss)
192.168.72.135 : [105], 64 bytes, 34.9 ms (33.9 avg, 98% loss)
192.168.72.135 : [106], timed out (33.9 avg, 98% loss)
192.168.72.135 : [107], timed out (33.9 avg, 98% loss)
192.168.72.135 : [108], timed out (33.9 avg, 98% loss)
192.168.72.135 : [109], timed out (33.9 avg, 98% loss)
192.168.72.135 : [110], timed out (33.9 avg, 98% loss)
192.168.72.135 : [111], timed out (33.9 avg, 98% loss)
192.168.72.135 : [112], timed out (33.9 avg, 98% loss)
192.168.72.135 : [113], timed out (33.9 avg, 98% loss)
192.168.72.135 : [114], timed out (33.9 avg, 98% loss)
192.168.72.135 : [115], timed out (33.9 avg, 98% loss)
192.168.72.135 : [116], timed out (33.9 avg, 98% loss)
192.168.72.135 : [117], timed out (33.9 avg, 98% loss)
192.168.72.135 : [118], timed out (33.9 avg, 98% loss)
192.168.72.135 : [119], timed out (33.9 avg, 98% loss)
192.168.72.135 : [120], timed out (33.9 avg, 98% loss)
192.168.72.135 : [121], timed out (33.9 avg, 98% loss)
192.168.72.135 : [122], timed out (33.9 avg, 98% loss)
192.168.72.135 : [123], timed out (33.9 avg, 98% loss)
192.168.72.135 : [124], timed out (33.9 avg, 98% loss)
192.168.72.135 : [125], timed out (33.9 avg, 98% loss)
192.168.72.135 : [126], timed out (33.9 avg, 98% loss)
192.168.72.135 : [127], timed out (33.9 avg, 98% loss)
192.168.72.135 : [128], timed out (33.9 avg, 98% loss)
192.168.72.135 : [129], timed out (33.9 avg, 98% loss)
192.168.72.135 : [130], timed out (33.9 avg, 98% loss)
192.168.72.135 : [131], timed out (33.9 avg, 98% loss)
192.168.72.135 : [132], timed out (33.9 avg, 98% loss)
192.168.72.135 : [133], timed out (33.9 avg, 98% loss)
192.168.72.135 : [134], timed out (33.9 avg, 98% loss)
192.168.72.135 : [135], timed out (33.9 avg, 98% loss)
192.168.72.135 : [136], timed out (33.9 avg, 98% loss)
192.168.72.135 : [137], timed out (33.9 avg, 98% loss)
192.168.72.135 : [138], timed out (33.9 avg, 98% loss)
192.168.72.135 : [139], timed out (33.9 avg, 98% loss)
192.168.72.135 : [140], timed out (33.9 avg, 98% loss)
192.168.72.135 : [141], timed out (33.9 avg, 98% loss)
192.168.72.135 : [142], timed out (33.9 avg, 98% loss)
192.168.72.135 : [143], timed out (33.9 avg, 98% loss)
192.168.72.135 : [144], timed out (33.9 avg, 98% loss)
192.168.72.135 : [145], timed out (33.9 avg, 98% loss)
192.168.72.135 : [146], timed out (33.9 avg, 98% loss)
192.168.72.135 : [147], timed out (33.9 avg, 98% loss)
192.168.72.135 : [148], timed out (33.9 avg, 98% loss)
192.168.72.135 : [149], timed out (33.9 avg, 98% loss)
192.168.72.135 : [150], timed out (33.9 avg, 98% loss)
192.168.72.135 : [151], timed out (33.9 avg, 98% loss)
192.168.72.135 : [152], timed out (33.9 avg, 98% loss)
192.168.72.135 : [153], timed out (33.9 avg, 98% loss)
192.168.72.135 : [154], timed out (33.9 avg, 98% loss)
192.168.72.135 : [155], timed out (33.9 avg, 98% loss)
192.168.72.135 : [156], timed out (33.9 avg, 98% loss)
192.168.72.135 : [157], timed out (33.9 avg, 98% loss)
192.168.72.135 : [158], timed out (33.9 avg, 98% loss)
192.168.72.135 : [159], timed out (33.9 avg, 98% loss)
192.168.72.135 : [160], timed out (33.9 avg, 98% loss)
192.168.72.135 : [161], timed out (33.9 avg, 98% loss)
192.168.72.135 : [162], timed out (33.9 avg, 98% loss)
192.168.72.135 : [163], timed out (33.9 avg, 98% loss)
192.168.72.135 : [164], timed out (33.9 avg, 98% loss)
192.168.72.135 : [165], timed out (33.9 avg, 98% loss)
192.168.72.135 : [166], timed out (33.9 avg, 98% loss)
192.168.72.135 : [167], timed out (33.9 avg, 98% loss)
192.168.72.135 : [168], timed out (33.9 avg, 98% loss)
192.168.72.135 : [169], timed out (33.9 avg, 98% loss)
192.168.72.135 : [170], timed out (33.9 avg, 98% loss)
192.168.72.135 : [171], timed out (33.9 avg, 98% loss)
192.168.72.135 : [172], timed out (33.9 avg, 98% loss)
192.168.72.135 : [173], timed out (33.9 avg, 98% loss)
192.168.72.135 : [174], timed out (33.9 avg, 98% loss)
192.168.72.135 : [175], timed out (33.9 avg, 98% loss)
192.168.72.135 : [176], timed out (33.9 avg, 98% loss)
192.168.72.135 : [177], timed out (33.9 avg, 98% loss)
192.168.72.135 : [178], timed out (33.9 avg, 98% loss)
192.168.72.135 : [179], timed out (33.9 avg, 98% loss)
192.168.72.135 : [180], timed out (33.9 avg, 98% loss)
192.168.72.135 : [181], timed out (33.9 avg, 98% loss)
192.168.72.135 : [182], timed out (33.9 avg, 98% loss)
192.168.72.135 : [183], timed out (33.9 avg, 98% loss)
192.168.72.135 : [184], timed out (33.9 avg, 98% loss)
192.168.72.135 : [185], timed out (33.9 avg, 98% loss)
192.168.72.135 : [186], timed out (33.9 avg, 98% loss)
192.168.72.135 : [187], 64 bytes, 32.4 ms (33.4 avg, 98% loss)
192.168.72.135 : [188], timed out (33.4 avg, 98% loss)
192.168.72.135 : [189], timed out (33.4 avg, 98% loss)
192.168.72.135 : [190], timed out (33.4 avg, 98% loss)
192.168.72.135 : [191], timed out (33.4 avg, 98% loss)
192.168.72.135 : [192], timed out (33.4 avg, 98% loss)
192.168.72.135 : [193], timed out (33.4 avg, 98% loss)
192.168.72.135 : [194], timed out (33.4 avg, 98% loss)
192.168.72.135 : [195], timed out (33.4 avg, 98% loss)
192.168.72.135 : [196], timed out (33.4 avg, 98% loss)
192.168.72.135 : [197], timed out (33.4 avg, 98% loss)
192.168.72.135 : [198], timed out (33.4 avg, 98% loss)
192.168.72.135 : [199], timed out (33.4 avg, 98% loss)
192.168.72.135 : [200], timed out (33.4 avg, 98% loss)
192.168.72.135 : [201], timed out (33.4 avg, 98% loss)
192.168.72.135 : [202], timed out (33.4 avg, 98% loss)
192.168.72.135 : [203], timed out (33.4 avg, 98% loss)
192.168.72.135 : [204], timed out (33.4 avg, 98% loss)
192.168.72.135 : [205], timed out (33.4 avg, 98% loss)
192.168.72.135 : [206], timed out (33.4 avg, 98% loss)
192.168.72.135 : [207], timed out (33.4 avg, 98% loss)
192.168.72.135 : [208], timed out (33.4 avg, 98% loss)
192.168.72.135 : [209], timed out (33.4 avg, 98% loss)
192.168.72.135 : [210], timed out (33.4 avg, 98% loss)
192.168.72.135 : [211], timed out (33.4 avg, 98% loss)
192.168.72.135 : [212], timed out (33.4 avg, 98% loss)
192.168.72.135 : [213], timed out (33.4 avg, 98% loss)
192.168.72.135 : [214], timed out (33.4 avg, 98% loss)
192.168.72.135 : [215], timed out (33.4 avg, 98% loss)
192.168.72.135 : [216], timed out (33.4 avg, 98% loss)
192.168.72.135 : [217], timed out (33.4 avg, 98% loss)
192.168.72.135 : [218], timed out (33.4 avg, 98% loss)
192.168.72.135 : [219], timed out (33.4 avg, 98% loss)
192.168.72.135 : [220], timed out (33.4 avg, 98% loss)
192.168.72.135 : [221], timed out (33.4 avg, 98% loss)
192.168.72.135 : [222], timed out (33.4 avg, 98% loss)
192.168.72.135 : [223], timed out (33.4 avg, 98% loss)
192.168.72.135 : [224], timed out (33.4 avg, 98% loss)
192.168.72.135 : [225], timed out (33.4 avg, 98% loss)
192.168.72.135 : [226], timed out (33.4 avg, 98% loss)
192.168.72.135 : [227], timed out (33.4 avg, 98% loss)
192.168.72.135 : [228], timed out (33.4 avg, 98% loss)
192.168.72.135 : [229], timed out (33.4 avg, 98% loss)
192.168.72.135 : [230], timed out (33.4 avg, 98% loss)
192.168.72.135 : [231], timed out (33.4 avg, 98% loss)
192.168.72.135 : [232], timed out (33.4 avg, 98% loss)
192.168.72.135 : [233], timed out (33.4 avg, 98% loss)
192.168.72.135 : [234], timed out (33.4 avg, 98% loss)
192.168.72.135 : [235], timed out (33.4 avg, 98% loss)
192.168.72.135 : [236], timed out (33.4 avg, 98% loss)
192.168.72.135 : [237], timed out (33.4 avg, 98% loss)
192.168.72.135 : [238], timed out (33.4 avg, 98% loss)
192.168.72.135 : [239], timed out (33.4 avg, 98% loss)
192.168.72.135 : [240], timed out (33.4 avg, 98% loss)
192.168.72.135 : [241], timed out (33.4 avg, 98% loss)
192.168.72.135 : [242], timed out (33.4 avg, 98% loss)
192.168.72.135 : [243], timed out (33.4 avg, 98% loss)
192.168.72.135 : [244], timed out (33.4 avg, 98% loss)
192.168.72.135 : [245], timed out (33.4 avg, 98% loss)
192.168.72.135 : [246], timed out (33.4 avg, 98% loss)
192.168.72.135 : [247], timed out (33.4 avg, 98% loss)
192.168.72.135 : [248], timed out (33.4 avg, 98% loss)
192.168.72.135 : [249], timed out (33.4 avg, 98% loss)
192.168.72.135 : [250], timed out (33.4 avg, 98% loss)
192.168.72.135 : [251], timed out (33.4 avg, 98% loss)
192.168.72.135 : [252], timed out (33.4 avg, 98% loss)
192.168.72.135 : [253], timed out (33.4 avg, 98% loss)
192.168.72.135 : [254], timed out (33.4 avg, 98% loss)
192.168.72.135 : [255], timed out (33.4 avg, 98% loss)
192.168.72.135 : [256], timed out (33.4 avg, 98% loss)
192.168.72.135 : [257], timed out (33.4 avg, 98% loss)
192.168.72.135 : [258], timed out (33.4 avg, 98% loss)
192.168.72.135 : [259], timed out (33.4 avg, 98% loss)
192.168.72.135 : [260], timed out (33.4 avg, 98% loss)
192.168.72.135 : [261], timed out (33.4 avg, 98% loss)
192.168.72.135 : [262], timed out (33.4 avg, 98% loss)
192.168.72.135 : [263], timed out (33.4 avg, 98% loss)
192.168.72.135 : [264], timed out (33.4 avg, 98% loss)
192.168.72.135 : [265], timed out (33.4 avg, 98% loss)
192.168.72.135 : [266], timed out (33.4 avg, 98% loss)
192.168.72.135 : [267], timed out (33.4 avg, 98% loss)
192.168.72.135 : [268], timed out (33.4 avg, 98% loss)
192.168.72.135 : [269], timed out (33.4 avg, 98% loss)
192.168.72.135 : [270], timed out (33.4 avg, 98% loss)
192.168.72.135 : [271], timed out (33.4 avg, 98% loss)
192.168.72.135 : [272], timed out (33.4 avg, 98% loss)
192.168.72.135 : [273], timed out (33.4 avg, 98% loss)
192.168.72.135 : [274], timed out (33.4 avg, 98% loss)
192.168.72.135 : [275], timed out (33.4 avg, 98% loss)
192.168.72.135 : [276], timed out (33.4 avg, 98% loss)
192.168.72.135 : [277], timed out (33.4 avg, 98% loss)
192.168.72.135 : [278], timed out (33.4 avg, 98% loss)
192.168.72.135 : [279], timed out (33.4 avg, 98% loss)
192.168.72.135 : [280], timed out (33.4 avg, 98% loss)
192.168.72.135 : [281], timed out (33.4 avg, 98% loss)
192.168.72.135 : [282], timed out (33.4 avg, 98% loss)
192.168.72.135 : [283], timed out (33.4 avg, 98% loss)
192.168.72.135 : [284], timed out (33.4 avg, 98% loss)

192.168.72.135 : xmt/rcv/%loss = 285/3/98%, min/avg/max = 32.4/33.4/34.9

       1 targets
       1 alive
       0 unreachable
       0 unknown addresses

     282 timeouts (waiting for response)
     285 ICMP Echos sent
     284 ICMP Echo Replies received
       0 other ICMP received

 32.4 ms (min round trip time)
 33.4 ms (avg round trip time)
 34.9 ms (max round trip time)
        9.977 sec (elapsed real time)

