192.168.72.135 : [80], 64 bytes, 35.6 ms (36.4 avg, 9% loss)
192.168.72.135 : [81], 64 bytes, 34.2 ms (36.4 avg, 9% loss)
192.168.72.135 : [82], 64 bytes, 35.5 ms (36.3 avg, 9% loss)
192.168.72.135 : [83], 64 bytes, 39.3 ms (36.4 avg, 9% loss)
192.168.72.135 : [84], 64 bytes, 34.8 ms (36.4 avg, 9% loss)
192.168.72.135 : [85], 64 bytes, 35.1 ms (36.3 avg, 9% loss)
192.168.72.135 : [86], 64 bytes, 31.9 ms (36.3 avg, 9% loss)
192.168.72.135 : [87], 64 bytes, 33.4 ms (36.2 avg, 9% loss)
192.168.72.135 : [88], 64 bytes, 38.9 ms (36.3 avg, 8% loss)
192.168.72.135 : [89], 64 bytes, 42.7 ms (36.4 avg, 8% loss)
192.168.72.135 : [90], timed out (36.4 avg, 9% loss)
192.168.72.135 : [91], timed out (36.4 avg, 10% loss)
192.168.72.135 : [92], 64 bytes, 40.7 ms (36.4 avg, 10% loss)
192.168.72.135 : [93], 64 bytes, 43.7 ms (36.5 avg, 10% loss)
192.168.72.135 : [94], 64 bytes, 31.9 ms (36.4 avg, 10% loss)
192.168.72.135 : [95], 64 bytes, 30.7 ms (36.4 avg, 10% loss)
192.168.72.135 : [96], 64 bytes, 31.4 ms (36.3 avg, 10% loss)
192.168.72.135 : [97], 64 bytes, 37.0 ms (36.3 avg, 10% loss)
192.168.72.135 : [98], 64 bytes, 35.8 ms (36.3 avg, 10% loss)
192.168.72.135 : [99], 64 bytes, 33.2 ms (36.3 avg, 10% loss)
192.168.72.135 : [100], 64 bytes, 38.6 ms (36.3 avg, 9% loss)
192.168.72.135 : [101], 64 bytes, 34.1 ms (36.3 avg, 9% loss)
192.168.72.135 : [102], 64 bytes, 36.1 ms (36.3 avg, 9% loss)
192.168.72.135 : [103], 64 bytes, 32.8 ms (36.3 avg, 9% loss)
192.168.72.135 : [104], 64 bytes, 34.0 ms (36.2 avg, 9% loss)
192.168.72.135 : [105], 64 bytes, 30.7 ms (36.2 avg, 9% loss)
192.168.72.135 : [106], 64 bytes, 31.3 ms (36.1 avg, 9% loss)
192.168.72.135 : [107], 64 bytes, 30.8 ms (36.1 avg, 9% loss)
192.168.72.135 : [108], 64 bytes, 39.2 ms (36.1 avg, 9% loss)
192.168.72.135 : [109], 64 bytes, 29.7 ms (36.0 avg, 9% loss)
192.168.72.135 : [110], 64 bytes, 34.6 ms (36.0 avg, 9% loss)
192.168.72.135 : [111], 64 bytes, 34.1 ms (36.0 avg, 8% loss)
192.168.72.135 : [112], 64 bytes, 34.0 ms (36.0 avg, 8% loss)
192.168.72.135 : [113], 64 bytes, 31.6 ms (35.9 avg, 8% loss)
