192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [1], 64 bytes, 29.1 ms (29.1 avg, 50% loss)
192.168.72.135 : [2], timed out (29.1 avg, 66% loss)
192.168.72.135 : [3], timed out (29.1 avg, 75% loss)
192.168.72.135 : [4], timed out (29.1 avg, 80% loss)
192.168.72.135 : [5], 64 bytes, 31.4 ms (30.2 avg, 66% loss)
192.168.72.135 : [6], 64 bytes, 35.0 ms (31.8 avg, 57% loss)
192.168.72.135 : [7], 64 bytes, 38.1 ms (33.4 avg, 50% loss)
192.168.72.135 : [8], 64 bytes, 36.1 ms (33.9 avg, 44% loss)
192.168.72.135 : [9], 64 bytes, 36.6 ms (34.4 avg, 40% loss)
192.168.72.135 : [10], 64 bytes, 36.3 ms (34.7 avg, 36% loss)
192.168.72.135 : [11], 64 bytes, 36.8 ms (34.9 avg, 33% loss)
192.168.72.135 : [12], 64 bytes, 40.8 ms (35.6 avg, 30% loss)
192.168.72.135 : [13], 64 bytes, 43.5 ms (36.4 avg, 28% loss)
192.168.72.135 : [14], 64 bytes, 41.7 ms (36.9 avg, 26% loss)
192.168.72.135 : [15], 64 bytes, 50.4 ms (38.0 avg, 25% loss)
192.168.72.135 : [16], 64 bytes, 50.1 ms (38.9 avg, 23% loss)
192.168.72.135 : [17], 64 bytes, 54.8 ms (40.0 avg, 22% loss)
192.168.72.135 : [18], 64 bytes, 48.0 ms (40.6 avg, 21% loss)
192.168.72.135 : [19], 64 bytes, 46.8 ms (41.0 avg, 20% loss)
192.168.72.135 : [20], 64 bytes, 43.2 ms (41.1 avg, 19% loss)
192.168.72.135 : [21], 64 bytes, 39.1 ms (41.0 avg, 18% loss)
192.168.72.135 : [22], 64 bytes, 42.8 ms (41.1 avg, 17% loss)
192.168.72.135 : [23], 64 bytes, 43.0 ms (41.2 avg, 16% loss)
192.168.72.135 : [24], 64 bytes, 44.7 ms (41.3 avg, 16% loss)
192.168.72.135 : [25], 64 bytes, 50.5 ms (41.8 avg, 15% loss)
192.168.72.135 : [26], 64 bytes, 46.9 ms (42.0 avg, 14% loss)
192.168.72.135 : [27], 64 bytes, 47.4 ms (42.2 avg, 14% loss)
192.168.72.135 : [28], 64 bytes, 45.2 ms (42.3 avg, 13% loss)
192.168.72.135 : [29], 64 bytes, 50.0 ms (42.6 avg, 13% loss)
192.168.72.135 : [30], timed out (42.6 avg, 16% loss)
192.168.72.135 : [31], 64 bytes, 34.2 ms (42.3 avg, 15% loss)
192.168.72.135 : [32], 64 bytes, 47.7 ms (42.5 avg, 15% loss)
192.168.72.135 : [33], 64 bytes, 45.1 ms (42.6 avg, 14% loss)
192.168.72.135 : [34], 64 bytes, 27.4 ms (42.1 avg, 14% loss)
192.168.72.135 : [35], 64 bytes, 28.1 ms (41.6 avg, 13% loss)
192.168.72.135 : [36], 64 bytes, 26.5 ms (41.2 avg, 13% loss)
192.168.72.135 : [37], 64 bytes, 23.2 ms (40.6 avg, 13% loss)
192.168.72.135 : [38], 64 bytes, 28.9 ms (40.3 avg, 12% loss)
192.168.72.135 : [39], 64 bytes, 30.8 ms (40.0 avg, 12% loss)
192.168.72.135 : [40], 64 bytes, 26.1 ms (39.6 avg, 12% loss)
192.168.72.135 : [41], 64 bytes, 23.4 ms (39.2 avg, 11% loss)
192.168.72.135 : [42], 64 bytes, 26.6 ms (38.8 avg, 11% loss)
192.168.72.135 : [43], 64 bytes, 27.1 ms (38.5 avg, 11% loss)
192.168.72.135 : [44], 64 bytes, 22.4 ms (38.1 avg, 11% loss)
192.168.72.135 : [45], 64 bytes, 31.2 ms (38.0 avg, 10% loss)
192.168.72.135 : [46], 64 bytes, 31.0 ms (37.8 avg, 10% loss)
192.168.72.135 : [47], 64 bytes, 42.2 ms (37.9 avg, 10% loss)
192.168.72.135 : [48], 64 bytes, 48.1 ms (38.1 avg, 10% loss)
192.168.72.135 : [49], 64 bytes, 46.5 ms (38.3 avg, 10% loss)
192.168.72.135 : [50], 64 bytes, 25.1 ms (38.0 avg, 9% loss)
192.168.72.135 : [51], 64 bytes, 29.4 ms (37.9 avg, 9% loss)
192.168.72.135 : [52], 64 bytes, 30.4 ms (37.7 avg, 9% loss)
192.168.72.135 : [53], 64 bytes, 29.6 ms (37.5 avg, 9% loss)
192.168.72.135 : [54], 64 bytes, 26.2 ms (37.3 avg, 9% loss)
192.168.72.135 : [55], 64 bytes, 25.6 ms (37.1 avg, 8% loss)
192.168.72.135 : [56], 64 bytes, 25.9 ms (36.9 avg, 8% loss)
192.168.72.135 : [57], 64 bytes, 51.8 ms (37.1 avg, 8% loss)
192.168.72.135 : [58], 64 bytes, 45.4 ms (37.3 avg, 8% loss)
192.168.72.135 : [59], 64 bytes, 24.9 ms (37.1 avg, 8% loss)
192.168.72.135 : [60], 64 bytes, 30.1 ms (36.9 avg, 8% loss)
192.168.72.135 : [61], 64 bytes, 35.7 ms (36.9 avg, 8% loss)
192.168.72.135 : [62], 64 bytes, 40.4 ms (37.0 avg, 7% loss)
192.168.72.135 : [63], 64 bytes, 44.4 ms (37.1 avg, 7% loss)
192.168.72.135 : [64], 64 bytes, 26.3 ms (36.9 avg, 7% loss)
192.168.72.135 : [65], 64 bytes, 28.9 ms (36.8 avg, 7% loss)
192.168.72.135 : [66], 64 bytes, 24.1 ms (36.6 avg, 7% loss)
192.168.72.135 : [67], 64 bytes, 26.2 ms (36.4 avg, 7% loss)
192.168.72.135 : [68], 64 bytes, 26.4 ms (36.3 avg, 7% loss)
192.168.72.135 : [69], timed out (36.3 avg, 8% loss)
192.168.72.135 : [70], 64 bytes, 30.6 ms (36.2 avg, 8% loss)
192.168.72.135 : [71], 64 bytes, 29.8 ms (36.1 avg, 8% loss)
192.168.72.135 : [72], 64 bytes, 29.8 ms (36.0 avg, 8% loss)
192.168.72.135 : [73], 64 bytes, 25.7 ms (35.8 avg, 8% loss)
192.168.72.135 : [74], 64 bytes, 26.3 ms (35.7 avg, 8% loss)
192.168.72.135 : [75], 64 bytes, 24.9 ms (35.6 avg, 7% loss)
192.168.72.135 : [76], 64 bytes, 30.8 ms (35.5 avg, 7% loss)
192.168.72.135 : [77], 64 bytes, 27.5 ms (35.4 avg, 7% loss)
192.168.72.135 : [78], 64 bytes, 26.8 ms (35.3 avg, 7% loss)
192.168.72.135 : [79], 64 bytes, 24.3 ms (35.1 avg, 7% loss)
192.168.72.135 : [80], 64 bytes, 26.2 ms (35.0 avg, 7% loss)
