192.168.72.135 : [110], timed out (NaN avg, 100% loss)
192.168.72.135 : [111], timed out (NaN avg, 100% loss)
192.168.72.135 : [112], timed out (NaN avg, 100% loss)
192.168.72.135 : [113], timed out (NaN avg, 100% loss)
192.168.72.135 : [114], timed out (NaN avg, 100% loss)
192.168.72.135 : [115], timed out (NaN avg, 100% loss)
192.168.72.135 : [116], timed out (NaN avg, 100% loss)
192.168.72.135 : [117], timed out (NaN avg, 100% loss)
192.168.72.135 : [118], timed out (NaN avg, 100% loss)
192.168.72.135 : [119], timed out (NaN avg, 100% loss)
192.168.72.135 : [120], timed out (NaN avg, 100% loss)
192.168.72.135 : [121], timed out (NaN avg, 100% loss)
192.168.72.135 : [122], timed out (NaN avg, 100% loss)
192.168.72.135 : [123], timed out (NaN avg, 100% loss)
192.168.72.135 : [124], timed out (NaN avg, 100% loss)
192.168.72.135 : [125], timed out (NaN avg, 100% loss)
192.168.72.135 : [126], timed out (NaN avg, 100% loss)
192.168.72.135 : [127], timed out (NaN avg, 100% loss)
192.168.72.135 : [128], timed out (NaN avg, 100% loss)
192.168.72.135 : [129], timed out (NaN avg, 100% loss)
192.168.72.135 : [130], timed out (NaN avg, 100% loss)
192.168.72.135 : [131], timed out (NaN avg, 100% loss)
192.168.72.135 : [132], timed out (NaN avg, 100% loss)
192.168.72.135 : [133], timed out (NaN avg, 100% loss)
192.168.72.135 : [134], timed out (NaN avg, 100% loss)
192.168.72.135 : [135], timed out (NaN avg, 100% loss)
192.168.72.135 : [136], timed out (NaN avg, 100% loss)
192.168.72.135 : [137], timed out (NaN avg, 100% loss)
192.168.72.135 : [138], timed out (NaN avg, 100% loss)
192.168.72.135 : [139], timed out (NaN avg, 100% loss)
192.168.72.135 : [140], timed out (NaN avg, 100% loss)
192.168.72.135 : [141], timed out (NaN avg, 100% loss)
192.168.72.135 : [142], timed out (NaN avg, 100% loss)
192.168.72.135 : [143], timed out (NaN avg, 100% loss)
192.168.72.135 : [144], timed out (NaN avg, 100% loss)
192.168.72.135 : [145], timed out (NaN avg, 100% loss)
192.168.72.135 : [146], timed out (NaN avg, 100% loss)
192.168.72.135 : [147], timed out (NaN avg, 100% loss)
192.168.72.135 : [148], timed out (NaN avg, 100% loss)
192.168.72.135 : [149], timed out (NaN avg, 100% loss)
192.168.72.135 : [150], timed out (NaN avg, 100% loss)
192.168.72.135 : [151], timed out (NaN avg, 100% loss)
192.168.72.135 : [152], timed out (NaN avg, 100% loss)
192.168.72.135 : [153], timed out (NaN avg, 100% loss)
192.168.72.135 : [154], timed out (NaN avg, 100% loss)
192.168.72.135 : [155], timed out (NaN avg, 100% loss)
192.168.72.135 : [156], timed out (NaN avg, 100% loss)
192.168.72.135 : [157], timed out (NaN avg, 100% loss)
192.168.72.135 : [158], timed out (NaN avg, 100% loss)
192.168.72.135 : [159], timed out (NaN avg, 100% loss)
192.168.72.135 : [160], timed out (NaN avg, 100% loss)
192.168.72.135 : [161], timed out (NaN avg, 100% loss)
192.168.72.135 : [162], timed out (NaN avg, 100% loss)
192.168.72.135 : [163], timed out (NaN avg, 100% loss)
192.168.72.135 : [164], timed out (NaN avg, 100% loss)
192.168.72.135 : [165], timed out (NaN avg, 100% loss)
192.168.72.135 : [166], timed out (NaN avg, 100% loss)
192.168.72.135 : [167], timed out (NaN avg, 100% loss)
192.168.72.135 : [168], timed out (NaN avg, 100% loss)
192.168.72.135 : [169], timed out (NaN avg, 100% loss)
192.168.72.135 : [170], timed out (NaN avg, 100% loss)
192.168.72.135 : [171], timed out (NaN avg, 100% loss)
192.168.72.135 : [172], timed out (NaN avg, 100% loss)
192.168.72.135 : [173], timed out (NaN avg, 100% loss)
192.168.72.135 : [174], timed out (NaN avg, 100% loss)
192.168.72.135 : [175], timed out (NaN avg, 100% loss)
192.168.72.135 : [176], timed out (NaN avg, 100% loss)
192.168.72.135 : [177], timed out (NaN avg, 100% loss)
192.168.72.135 : [178], timed out (NaN avg, 100% loss)
192.168.72.135 : [179], timed out (NaN avg, 100% loss)
192.168.72.135 : [180], timed out (NaN avg, 100% loss)
192.168.72.135 : [181], timed out (NaN avg, 100% loss)
192.168.72.135 : [182], timed out (NaN avg, 100% loss)
192.168.72.135 : [183], timed out (NaN avg, 100% loss)
192.168.72.135 : [184], timed out (NaN avg, 100% loss)
192.168.72.135 : [185], timed out (NaN avg, 100% loss)
192.168.72.135 : [186], timed out (NaN avg, 100% loss)
192.168.72.135 : [187], timed out (NaN avg, 100% loss)
192.168.72.135 : [188], timed out (NaN avg, 100% loss)
192.168.72.135 : [189], timed out (NaN avg, 100% loss)
192.168.72.135 : [190], timed out (NaN avg, 100% loss)
192.168.72.135 : [191], timed out (NaN avg, 100% loss)
192.168.72.135 : [192], timed out (NaN avg, 100% loss)
192.168.72.135 : [193], timed out (NaN avg, 100% loss)
192.168.72.135 : [194], timed out (NaN avg, 100% loss)
192.168.72.135 : [195], timed out (NaN avg, 100% loss)
192.168.72.135 : [196], timed out (NaN avg, 100% loss)
192.168.72.135 : [197], timed out (NaN avg, 100% loss)
192.168.72.135 : [198], timed out (NaN avg, 100% loss)
192.168.72.135 : [199], timed out (NaN avg, 100% loss)
192.168.72.135 : [200], timed out (NaN avg, 100% loss)
192.168.72.135 : [201], timed out (NaN avg, 100% loss)
192.168.72.135 : [202], timed out (NaN avg, 100% loss)
192.168.72.135 : [203], timed out (NaN avg, 100% loss)
192.168.72.135 : [204], timed out (NaN avg, 100% loss)
192.168.72.135 : [205], timed out (NaN avg, 100% loss)
192.168.72.135 : [206], timed out (NaN avg, 100% loss)
192.168.72.135 : [207], timed out (NaN avg, 100% loss)
192.168.72.135 : [208], timed out (NaN avg, 100% loss)
192.168.72.135 : [209], timed out (NaN avg, 100% loss)
192.168.72.135 : [210], timed out (NaN avg, 100% loss)
192.168.72.135 : [211], timed out (NaN avg, 100% loss)
192.168.72.135 : [212], timed out (NaN avg, 100% loss)
192.168.72.135 : [213], timed out (NaN avg, 100% loss)
192.168.72.135 : [214], timed out (NaN avg, 100% loss)
192.168.72.135 : [215], timed out (NaN avg, 100% loss)
192.168.72.135 : [216], timed out (NaN avg, 100% loss)
192.168.72.135 : [217], timed out (NaN avg, 100% loss)
192.168.72.135 : [218], timed out (NaN avg, 100% loss)
192.168.72.135 : [219], timed out (NaN avg, 100% loss)
192.168.72.135 : [220], timed out (NaN avg, 100% loss)
192.168.72.135 : [221], timed out (NaN avg, 100% loss)
192.168.72.135 : [222], timed out (NaN avg, 100% loss)
192.168.72.135 : [223], timed out (NaN avg, 100% loss)
192.168.72.135 : [224], timed out (NaN avg, 100% loss)
192.168.72.135 : [225], timed out (NaN avg, 100% loss)
192.168.72.135 : [226], timed out (NaN avg, 100% loss)
192.168.72.135 : [227], timed out (NaN avg, 100% loss)
192.168.72.135 : [228], timed out (NaN avg, 100% loss)
192.168.72.135 : [229], timed out (NaN avg, 100% loss)
192.168.72.135 : [230], timed out (NaN avg, 100% loss)
192.168.72.135 : [231], timed out (NaN avg, 100% loss)
192.168.72.135 : [232], timed out (NaN avg, 100% loss)
192.168.72.135 : [233], timed out (NaN avg, 100% loss)
192.168.72.135 : [234], timed out (NaN avg, 100% loss)
192.168.72.135 : [235], timed out (NaN avg, 100% loss)
192.168.72.135 : [236], timed out (NaN avg, 100% loss)
192.168.72.135 : [237], timed out (NaN avg, 100% loss)
192.168.72.135 : [238], timed out (NaN avg, 100% loss)
192.168.72.135 : [239], timed out (NaN avg, 100% loss)
192.168.72.135 : [240], timed out (NaN avg, 100% loss)
192.168.72.135 : [241], timed out (NaN avg, 100% loss)
192.168.72.135 : [242], timed out (NaN avg, 100% loss)
192.168.72.135 : [243], timed out (NaN avg, 100% loss)
192.168.72.135 : [244], timed out (NaN avg, 100% loss)
192.168.72.135 : [245], timed out (NaN avg, 100% loss)
192.168.72.135 : [246], timed out (NaN avg, 100% loss)
192.168.72.135 : [247], timed out (NaN avg, 100% loss)
192.168.72.135 : [248], timed out (NaN avg, 100% loss)
192.168.72.135 : [249], timed out (NaN avg, 100% loss)
192.168.72.135 : [250], timed out (NaN avg, 100% loss)
192.168.72.135 : [251], timed out (NaN avg, 100% loss)
192.168.72.135 : [252], timed out (NaN avg, 100% loss)
192.168.72.135 : [253], timed out (NaN avg, 100% loss)
192.168.72.135 : [254], timed out (NaN avg, 100% loss)
192.168.72.135 : [255], timed out (NaN avg, 100% loss)
