192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [1], timed out (NaN avg, 100% loss)
192.168.72.135 : [2], timed out (NaN avg, 100% loss)
192.168.72.135 : [3], timed out (NaN avg, 100% loss)
192.168.72.135 : [4], timed out (NaN avg, 100% loss)
192.168.72.135 : [5], timed out (NaN avg, 100% loss)
192.168.72.135 : [6], timed out (NaN avg, 100% loss)
192.168.72.135 : [80], 64 bytes, 20.5 ms (27.5 avg, 9% loss)
192.168.72.135 : [81], 64 bytes, 18.8 ms (27.4 avg, 9% loss)
192.168.72.135 : [82], 64 bytes, 20.0 ms (27.3 avg, 9% loss)
192.168.72.135 : [83], 64 bytes, 38.2 ms (27.5 avg, 9% loss)
192.168.72.135 : [84], 64 bytes, 30.4 ms (27.5 avg, 9% loss)
192.168.72.135 : [85], 64 bytes, 30.6 ms (27.5 avg, 9% loss)
192.168.72.135 : [86], 64 bytes, 23.7 ms (27.5 avg, 9% loss)
192.168.72.135 : [87], 64 bytes, 28.1 ms (27.5 avg, 9% loss)
192.168.72.135 : [88], 64 bytes, 28.8 ms (27.5 avg, 8% loss)
192.168.72.135 : [89], 64 bytes, 25.9 ms (27.5 avg, 8% loss)
192.168.72.135 : [90], 64 bytes, 25.2 ms (27.5 avg, 8% loss)
192.168.72.135 : [91], 64 bytes, 21.3 ms (27.4 avg, 8% loss)
192.168.72.135 : [92], 64 bytes, 21.3 ms (27.3 avg, 8% loss)
192.168.72.135 : [93], 64 bytes, 23.3 ms (27.3 avg, 8% loss)
192.168.72.135 : [94], 64 bytes, 21.7 ms (27.2 avg, 8% loss)
192.168.72.135 : [95], 64 bytes, 18.6 ms (27.1 avg, 8% loss)
192.168.72.135 : [96], 64 bytes, 20.3 ms (27.0 avg, 8% loss)
192.168.72.135 : [97], 64 bytes, 37.5 ms (27.2 avg, 8% loss)
192.168.72.135 : [98], 64 bytes, 37.3 ms (27.3 avg, 8% loss)
192.168.72.135 : [99], 64 bytes, 28.0 ms (27.3 avg, 8% loss)
192.168.72.135 : [100], 64 bytes, 19.0 ms (27.2 avg, 7% loss)
192.168.72.135 : [101], 64 bytes, 42.6 ms (27.4 avg, 7% loss)
192.168.72.135 : [102], 64 bytes, 40.1 ms (27.5 avg, 7% loss)
192.168.72.135 : [103], 64 bytes, 27.1 ms (27.5 avg, 7% loss)
192.168.72.135 : [104], 64 bytes, 22.8 ms (27.4 avg, 7% loss)
192.168.72.135 : [105], 64 bytes, 20.5 ms (27.4 avg, 7% loss)
192.168.72.135 : [106], 64 bytes, 20.9 ms (27.3 avg, 7% loss)
192.168.72.135 : [107], 64 bytes, 23.7 ms (27.3 avg, 7% loss)
192.168.72.135 : [108], 64 bytes, 20.6 ms (27.2 avg, 7% loss)
192.168.72.135 : [109], 64 bytes, 17.3 ms (27.1 avg, 7% loss)
192.168.72.135 : [110], 64 bytes, 19.7 ms (27.0 avg, 7% loss)
192.168.72.135 : [111], 64 bytes, 43.0 ms (27.2 avg, 7% loss)
192.168.72.135 : [112], 64 bytes, 36.2 ms (27.3 avg, 7% loss)
192.168.72.135 : [113], 64 bytes, 24.8 ms (27.2 avg, 7% loss)
192.168.72.135 : [114], 64 bytes, 27.1 ms (27.2 avg, 6% loss)
192.168.72.135 : [115], 64 bytes, 25.4 ms (27.2 avg, 6% loss)
192.168.72.135 : [116], 64 bytes, 21.5 ms (27.2 avg, 6% loss)
192.168.72.135 : [117], 64 bytes, 18.4 ms (27.1 avg, 6% loss)
192.168.72.135 : [118], 64 bytes, 22.4 ms (27.0 avg, 6% loss)
192.168.72.135 : [119], 64 bytes, 36.4 ms (27.1 avg, 6% loss)
192.168.72.135 : [120], 64 bytes, 35.1 ms (27.2 avg, 6% loss)
192.168.72.135 : [121], 64 bytes, 19.4 ms (27.1 avg, 6% loss)
192.168.72.135 : [122], 64 bytes, 36.7 ms (27.2 avg, 6% loss)
192.168.72.135 : [123], 64 bytes, 25.9 ms (27.2 avg, 6% loss)
192.168.72.135 : [124], 64 bytes, 25.5 ms (27.2 avg, 6% loss)
192.168.72.135 : [125], 64 bytes, 22.1 ms (27.1 avg, 6% loss)
192.168.72.135 : [126], 64 bytes, 21.7 ms (27.1 avg, 6% loss)
192.168.72.135 : [127], 64 bytes, 20.5 ms (27.0 avg, 6% loss)
192.168.72.135 : [128], 64 bytes, 21.9 ms (27.0 avg, 6% loss)
192.168.72.135 : [129], timed out (27.0 avg, 6% loss)
192.168.72.135 : [130], 64 bytes, 21.3 ms (27.0 avg, 6% loss)
192.168.72.135 : [131], 64 bytes, 28.5 ms (27.0 avg, 6% loss)
192.168.72.135 : [132], 64 bytes, 22.5 ms (26.9 avg, 6% loss)
192.168.72.135 : [133], 64 bytes, 20.9 ms (26.9 avg, 6% loss)
192.168.72.135 : [134], 64 bytes, 20.9 ms (26.8 avg, 6% loss)
192.168.72.135 : [135], 64 bytes, 22.9 ms (26.8 avg, 6% loss)
192.168.72.135 : [136], 64 bytes, 21.3 ms (26.8 avg, 6% loss)
192.168.72.135 : [137], 64 bytes, 23.7 ms (26.7 avg, 6% loss)
192.168.72.135 : [138], 64 bytes, 19.7 ms (26.7 avg, 6% loss)
192.168.72.135 : [139], 64 bytes, 19.8 ms (26.6 avg, 6% loss)
192.168.72.135 : [140], 64 bytes, 18.2 ms (26.6 avg, 6% loss)
192.168.72.135 : [141], 64 bytes, 39.3 ms (26.7 avg, 6% loss)
192.168.72.135 : [142], 64 bytes, 33.7 ms (26.7 avg, 6% loss)
192.168.72.135 : [143], 64 bytes, 28.0 ms (26.7 avg, 6% loss)
192.168.72.135 : [144], 64 bytes, 21.9 ms (26.7 avg, 6% loss)
192.168.72.135 : [145], 64 bytes, 24.3 ms (26.7 avg, 6% loss)
192.168.72.135 : [146], 64 bytes, 23.7 ms (26.7 avg, 6% loss)
192.168.72.135 : [147], 64 bytes, 17.2 ms (26.6 avg, 6% loss)
192.168.72.135 : [148], 64 bytes, 20.2 ms (26.5 avg, 6% loss)
192.168.72.135 : [149], 64 bytes, 39.3 ms (26.6 avg, 6% loss)
192.168.72.135 : [150], 64 bytes, 38.8 ms (26.7 avg, 5% loss)
192.168.72.135 : [151], 64 bytes, 23.9 ms (26.7 avg, 5% loss)
192.168.72.135 : [152], 64 bytes, 20.0 ms (26.7 avg, 5% loss)
192.168.72.135 : [153], 64 bytes, 23.3 ms (26.6 avg, 5% loss)
192.168.72.135 : [154], 64 bytes, 19.0 ms (26.6 avg, 5% loss)
192.168.72.135 : [155], 64 bytes, 22.5 ms (26.5 avg, 5% loss)
192.168.72.135 : [156], timed out (26.5 avg, 6% loss)
192.168.72.135 : [157], 64 bytes, 28.1 ms (26.6 avg, 6% loss)
192.168.72.135 : [158], 64 bytes, 32.8 ms (26.6 avg, 6% loss)
192.168.72.135 : [159], 64 bytes, 34.8 ms (26.7 avg, 6% loss)
192.168.72.135 : [160], 64 bytes, 30.9 ms (26.7 avg, 6% loss)
192.168.72.135 : [161], 64 bytes, 27.6 ms (26.7 avg, 6% loss)
192.168.72.135 : [162], 64 bytes, 18.8 ms (26.6 avg, 6% loss)
192.168.72.135 : [163], 64 bytes, 30.8 ms (26.7 avg, 6% loss)
192.168.72.135 : [164], 64 bytes, 27.0 ms (26.7 avg, 6% loss)
192.168.72.135 : [165], 64 bytes, 22.4 ms (26.6 avg, 6% loss)
192.168.72.135 : [166], 64 bytes, 20.1 ms (26.6 avg, 5% loss)
192.168.72.135 : [167], timed out (26.6 avg, 6% loss)
192.168.72.135 : [168], 64 bytes, 41.6 ms (26.7 avg, 6% loss)
192.168.72.135 : [169], 64 bytes, 24.1 ms (26.7 avg, 6% loss)
192.168.72.135 : [170], 64 bytes, 25.4 ms (26.7 avg, 6% loss)
192.168.72.135 : [171], 64 bytes, 23.0 ms (26.6 avg, 6% loss)
192.168.72.135 : [172], 64 bytes, 19.7 ms (26.6 avg, 6% loss)
192.168.72.135 : [173], 64 bytes, 18.5 ms (26.6 avg, 6% loss)
192.168.72.135 : [174], 64 bytes, 18.4 ms (26.5 avg, 6% loss)
192.168.72.135 : [175], 64 bytes, 41.1 ms (26.6 avg, 6% loss)
192.168.72.135 : [176], 64 bytes, 36.1 ms (26.6 avg, 6% loss)
192.168.72.135 : [177], 64 bytes, 22.5 ms (26.6 avg, 6% loss)
192.168.72.135 : [178], 64 bytes, 17.1 ms (26.6 avg, 6% loss)
192.168.72.135 : [179], timed out (26.6 avg, 6% loss)
192.168.72.135 : [180], 64 bytes, 26.0 ms (26.6 avg, 6% loss)
192.168.72.135 : [181], 64 bytes, 19.5 ms (26.5 avg, 6% loss)
192.168.72.135 : [182], 64 bytes, 35.7 ms (26.6 avg, 6% loss)
192.168.72.135 : [183], 64 bytes, 29.6 ms (26.6 avg, 6% loss)
192.168.72.135 : [184], 64 bytes, 30.2 ms (26.6 avg, 6% loss)
192.168.72.135 : [185], 64 bytes, 23.3 ms (26.6 avg, 6% loss)
192.168.72.135 : [186], 64 bytes, 21.8 ms (26.6 avg, 6% loss)
192.168.72.135 : [187], 64 bytes, 19.1 ms (26.5 avg, 6% loss)
192.168.72.135 : [188], 64 bytes, 44.8 ms (26.6 avg, 6% loss)
192.168.72.135 : [189], 64 bytes, 38.6 ms (26.7 avg, 6% loss)
192.168.72.135 : [190], 64 bytes, 22.5 ms (26.7 avg, 6% loss)
192.168.72.135 : [191], 64 bytes, 19.9 ms (26.6 avg, 6% loss)
192.168.72.135 : [192], 64 bytes, 39.5 ms (26.7 avg, 6% loss)
192.168.72.135 : [193], 64 bytes, 31.9 ms (26.7 avg, 6% loss)
192.168.72.135 : [194], 64 bytes, 26.4 ms (26.7 avg, 6% loss)
192.168.72.135 : [195], 64 bytes, 25.5 ms (26.7 avg, 6% loss)
192.168.72.135 : [196], 64 bytes, 26.7 ms (26.7 avg, 6% loss)
192.168.72.135 : [197], 64 bytes, 22.5 ms (26.7 avg, 6% loss)
192.168.72.135 : [198], 64 bytes, 18.4 ms (26.7 avg, 6% loss)
192.168.72.135 : [199], 64 bytes, 19.0 ms (26.6 avg, 6% loss)
192.168.72.135 : [200], 64 bytes, 39.7 ms (26.7 avg, 5% loss)
192.168.72.135 : [201], 64 bytes, 35.9 ms (26.7 avg, 5% loss)
192.168.72.135 : [202], 64 bytes, 19.3 ms (26.7 avg, 5% loss)
192.168.72.135 : [203], 64 bytes, 20.7 ms (26.7 avg, 5% loss)
192.168.72.135 : [204], 64 bytes, 43.3 ms (26.8 avg, 5% loss)
192.168.72.135 : [205], 64 bytes, 42.2 ms (26.8 avg, 5% loss)
192.168.72.135 : [206], 64 bytes, 27.0 ms (26.8 avg, 5% loss)
192.168.72.135 : [207], 64 bytes, 24.7 ms (26.8 avg, 5% loss)
192.168.72.135 : [208], 64 bytes, 22.7 ms (26.8 avg, 5% loss)
192.168.72.135 : [209], 64 bytes, 23.6 ms (26.8 avg, 5% loss)
192.168.72.135 : [210], 64 bytes, 27.7 ms (26.8 avg, 5% loss)
192.168.72.135 : [211], 64 bytes, 25.7 ms (26.8 avg, 5% loss)
192.168.72.135 : [212], 64 bytes, 25.0 ms (26.8 avg, 5% loss)
192.168.72.135 : [213], 64 bytes, 18.2 ms (26.7 avg, 5% loss)
192.168.72.135 : [214], 64 bytes, 18.3 ms (26.7 avg, 5% loss)
192.168.72.135 : [215], 64 bytes, 20.9 ms (26.7 avg, 5% loss)
192.168.72.135 : [216], 64 bytes, 41.4 ms (26.7 avg, 5% loss)
192.168.72.135 : [217], 64 bytes, 39.9 ms (26.8 avg, 5% loss)
192.168.72.135 : [218], 64 bytes, 24.0 ms (26.8 avg, 5% loss)
192.168.72.135 : [219], 64 bytes, 17.7 ms (26.7 avg, 5% loss)

192.168.72.135 : xmt/rcv/%loss = 220/208/5%, min/avg/max = 15.1/26.7/44.8

       1 targets
       1 alive
       0 unreachable
       0 unknown addresses

      12 timeouts (waiting for response)
     220 ICMP Echos sent
     220 ICMP Echo Replies received
       0 other ICMP received

 15.1 ms (min round trip time)
 26.7 ms (avg round trip time)
 44.8 ms (max round trip time)
        9.873 sec (elapsed real time)

