192.168.72.135 : [0], timed out (NaN avg, 100% loss)
192.168.72.135 : [1], 64 bytes, 48.3 ms (48.3 avg, 50% loss)
192.168.72.135 : [2], timed out (48.3 avg, 66% loss)
192.168.72.135 : [3], timed out (48.3 avg, 75% loss)
192.168.72.135 : [4], timed out (48.3 avg, 80% loss)
192.168.72.135 : [5], timed out (48.3 avg, 83% loss)
192.168.72.135 : [6], 64 bytes, 37.9 ms (43.1 avg, 71% loss)
192.168.72.135 : [7], 64 bytes, 34.6 ms (40.3 avg, 62% loss)
192.168.72.135 : [8], 64 bytes, 26.2 ms (36.8 avg, 55% loss)
192.168.72.135 : [9], 64 bytes, 41.5 ms (37.7 avg, 50% loss)
192.168.72.135 : [10], 64 bytes, 25.4 ms (35.6 avg, 45% loss)
192.168.72.135 : [11], 64 bytes, 47.4 ms (37.3 avg, 41% loss)
192.168.72.135 : [12], 64 bytes, 31.1 ms (36.5 avg, 38% loss)
192.168.72.135 : [13], 64 bytes, 37.1 ms (36.6 avg, 35% loss)
192.168.72.135 : [14], 64 bytes, 21.8 ms (35.1 avg, 33% loss)
192.168.72.135 : [15], 64 bytes, 45.1 ms (36.0 avg, 31% loss)
192.168.72.135 : [16], 64 bytes, 37.1 ms (36.1 avg, 29% loss)
192.168.72.135 : [17], 64 bytes, 26.9 ms (35.4 avg, 27% loss)
192.168.72.135 : [18], 64 bytes, 29.1 ms (35.0 avg, 26% loss)
192.168.72.135 : [19], 64 bytes, 42.5 ms (35.5 avg, 25% loss)
192.168.72.135 : [20], 64 bytes, 38.8 ms (35.7 avg, 23% loss)
192.168.72.135 : [21], 64 bytes, 29.6 ms (35.3 avg, 22% loss)
192.168.72.135 : [22], 64 bytes, 24.3 ms (34.7 avg, 21% loss)
192.168.72.135 : [23], 64 bytes, 48.9 ms (35.4 avg, 20% loss)
192.168.72.135 : [24], 64 bytes, 34.4 ms (35.4 avg, 20% loss)
192.168.72.135 : [25], 64 bytes, 25.9 ms (34.9 avg, 19% loss)
192.168.72.135 : [26], 64 bytes, 42.2 ms (35.3 avg, 18% loss)
192.168.72.135 : [27], 64 bytes, 33.5 ms (35.2 avg, 17% loss)
192.168.72.135 : [28], 64 bytes, 22.1 ms (34.7 avg, 17% loss)
192.168.72.135 : [29], 64 bytes, 20.1 ms (34.1 avg, 16% loss)
192.168.72.135 : [30], 64 bytes, 42.9 ms (34.4 avg, 16% loss)
192.168.72.135 : [31], 64 bytes, 27.2 ms (34.1 avg, 15% loss)
192.168.72.135 : [32], 64 bytes, 35.4 ms (34.2 avg, 15% loss)
192.168.72.135 : [33], 64 bytes, 18.1 ms (33.6 avg, 14% loss)
192.168.72.135 : [34], 64 bytes, 38.7 ms (33.8 avg, 14% loss)
192.168.72.135 : [35], 64 bytes, 29.0 ms (33.6 avg, 13% loss)
192.168.72.135 : [36], 64 bytes, 26.6 ms (33.4 avg, 13% loss)
192.168.72.135 : [37], 64 bytes, 17.3 ms (32.9 avg, 13% loss)
192.168.72.135 : [38], 64 bytes, 37.1 ms (33.1 avg, 12% loss)
192.168.72.135 : [39], 64 bytes, 30.1 ms (33.0 avg, 12% loss)
192.168.72.135 : [40], 64 bytes, 20.2 ms (32.6 avg, 12% loss)
192.168.72.135 : [41], 64 bytes, 20.6 ms (32.3 avg, 11% loss)
192.168.72.135 : [42], 64 bytes, 24.2 ms (32.1 avg, 11% loss)
192.168.72.135 : [43], 64 bytes, 35.2 ms (32.2 avg, 11% loss)
192.168.72.135 : [44], 64 bytes, 21.1 ms (31.9 avg, 11% loss)
192.168.72.135 : [45], 64 bytes, 43.3 ms (32.2 avg, 10% loss)
192.168.72.135 : [46], 64 bytes, 39.5 ms (32.3 avg, 10% loss)
192.168.72.135 : [47], 64 bytes, 23.3 ms (32.1 avg, 10% loss)
192.168.72.135 : [48], 64 bytes, 18.0 ms (31.8 avg, 10% loss)
192.168.72.135 : [49], 64 bytes, 20.4 ms (31.6 avg, 10% loss)
192.168.72.135 : [50], 64 bytes, 22.9 ms (31.4 avg, 9% loss)
192.168.72.135 : [51], 64 bytes, 36.4 ms (31.5 avg, 9% loss)
192.168.72.135 : [52], 64 bytes, 26.5 ms (31.4 avg, 9% loss)
192.168.72.135 : [53], 64 bytes, 41.4 ms (31.6 avg, 9% loss)
192.168.72.135 : [54], 64 bytes, 26.6 ms (31.5 avg, 9% loss)
192.168.72.135 : [55], 64 bytes, 21.9 ms (31.3 avg, 8% loss)
192.168.72.135 : [56], 64 bytes, 20.4 ms (31.1 avg, 8% loss)
192.168.72.135 : [57], 64 bytes, 41.8 ms (31.3 avg, 8% loss)
192.168.72.135 : [58], 64 bytes, 28.8 ms (31.2 avg, 8% loss)
192.168.72.135 : [59], 64 bytes, 24.0 ms (31.1 avg, 8% loss)
192.168.72.135 : [60], 64 bytes, 41.8 ms (31.3 avg, 8% loss)
192.168.72.135 : [61], 64 bytes, 24.1 ms (31.2 avg, 8% loss)
192.168.72.135 : [62], 64 bytes, 19.9 ms (31.0 avg, 7% loss)
192.168.72.135 : [63], 64 bytes, 29.0 ms (30.9 avg, 7% loss)
192.168.72.135 : [64], 64 bytes, 20.8 ms (30.8 avg, 7% loss)
192.168.72.135 : [65], 64 bytes, 42.0 ms (31.0 avg, 7% loss)
192.168.72.135 : [66], 64 bytes, 39.7 ms (31.1 avg, 7% loss)
192.168.72.135 : [67], 64 bytes, 27.9 ms (31.0 avg, 7% loss)
192.168.72.135 : [68], 64 bytes, 22.0 ms (30.9 avg, 7% loss)
192.168.72.135 : [69], 64 bytes, 17.5 ms (30.7 avg, 7% loss)
192.168.72.135 : [70], 64 bytes, 39.1 ms (30.8 avg, 7% loss)
192.168.72.135 : [71], 64 bytes, 27.2 ms (30.8 avg, 6% loss)
192.168.72.135 : [72], 64 bytes, 21.4 ms (30.6 avg, 6% loss)
192.168.72.135 : [73], 64 bytes, 16.9 ms (30.4 avg, 6% loss)
192.168.72.135 : [74], 64 bytes, 28.1 ms (30.4 avg, 6% loss)
192.168.72.135 : [75], 64 bytes, 23.7 ms (30.3 avg, 6% loss)
192.168.72.135 : [76], 64 bytes, 38.6 ms (30.4 avg, 6% loss)
