192.168.72.135 : [78], timed out (30.0 avg, 3% loss)
192.168.72.135 : [79], 64 bytes, 19.5 ms (29.8 avg, 3% loss)
192.168.72.135 : [80], 64 bytes, 44.3 ms (30.0 avg, 3% loss)
192.168.72.135 : [81], 64 bytes, 39.6 ms (30.1 avg, 3% loss)
192.168.72.135 : [82], 64 bytes, 34.2 ms (30.2 avg, 3% loss)
192.168.72.135 : [83], 64 bytes, 23.3 ms (30.1 avg, 3% loss)
192.168.72.135 : [84], 64 bytes, 38.2 ms (30.2 avg, 3% loss)
192.168.72.135 : [85], 64 bytes, 23.2 ms (30.1 avg, 3% loss)
192.168.72.135 : [86], 64 bytes, 46.9 ms (30.3 avg, 3% loss)
192.168.72.135 : [87], 64 bytes, 34.6 ms (30.4 avg, 3% loss)
192.168.72.135 : [88], 64 bytes, 20.2 ms (30.3 avg, 3% loss)
192.168.72.135 : [89], 64 bytes, 20.1 ms (30.1 avg, 3% loss)
192.168.72.135 : [90], 64 bytes, 22.5 ms (30.0 avg, 3% loss)
192.168.72.135 : [91], 64 bytes, 41.6 ms (30.2 avg, 3% loss)
192.168.72.135 : [92], 64 bytes, 30.4 ms (30.2 avg, 3% loss)
192.168.72.135 : [93], 64 bytes, 21.9 ms (30.1 avg, 3% loss)
192.168.72.135 : [94], 64 bytes, 20.4 ms (30.0 avg, 3% loss)
192.168.72.135 : [95], 64 bytes, 21.7 ms (29.9 avg, 3% loss)
192.168.72.135 : [96], 64 bytes, 21.7 ms (29.8 avg, 3% loss)
192.168.72.135 : [97], 64 bytes, 49.3 ms (30.0 avg, 3% loss)
192.168.72.135 : [98], 64 bytes, 38.2 ms (30.1 avg, 3% loss)
192.168.72.135 : [99], 64 bytes, 29.8 ms (30.1 avg, 3% loss)
192.168.72.135 : [100], 64 bytes, 20.1 ms (30.0 avg, 2% loss)
192.168.72.135 : [101], 64 bytes, 39.5 ms (30.1 avg, 2% loss)
192.168.72.135 : [102], 64 bytes, 27.9 ms (30.1 avg, 2% loss)
192.168.72.135 : [103], 64 bytes, 20.7 ms (30.0 avg, 2% loss)
192.168.72.135 : [104], 64 bytes, 27.7 ms (30.0 avg, 2% loss)
192.168.72.135 : [105], 64 bytes, 22.7 ms (29.9 avg, 2% loss)
192.168.72.135 : [106], 64 bytes, 46.6 ms (30.0 avg, 2% loss)
192.168.72.135 : [107], 64 bytes, 31.5 ms (30.1 avg, 2% loss)
192.168.72.135 : [108], 64 bytes, 22.8 ms (30.0 avg, 2% loss)
192.168.72.135 : [109], 64 bytes, 22.7 ms (29.9 avg, 2% loss)
192.168.72.135 : [110], 64 bytes, 24.2 ms (29.9 avg, 2% loss)
192.168.72.135 : [111], 64 bytes, 41.7 ms (30.0 avg, 2% loss)
192.168.72.135 : [112], 64 bytes, 26.4 ms (29.9 avg, 2% loss)
192.168.72.135 : [113], 64 bytes, 35.9 ms (30.0 avg, 2% loss)
192.168.72.135 : [114], 64 bytes, 19.2 ms (29.9 avg, 2% loss)
192.168.72.135 : [115], 64 bytes, 21.5 ms (29.8 avg, 2% loss)
192.168.72.135 : [116], 64 bytes, 39.9 ms (29.9 avg, 2% loss)
192.168.72.135 : [117], 64 bytes, 27.6 ms (29.9 avg, 2% loss)
192.168.72.135 : [118], 64 bytes, 19.8 ms (29.8 avg, 2% loss)
